N	3gram	Tiupa_Hudo	KulturaY
1	и т п	10	93
2	и т д	5	42
3	для того чтобы	2	38
4	с точки зрения	5	36
5	в том что	15	33
6	в самом деле	5	29
7	можно было бы	5	25
8	тем не менее	6	19
9	до сих пор	3	14
10	только потому что	2	13
11	по отношению к	15	13
12	в связи с	3	12
13	в этом отношении	4	11
14	и в самом	4	11
15	не может быть	5	11
16	о том что	14	10
17	того или иного	4	9
18	не в том	2	8
19	не только в	4	8
20	в том случае	2	7
21	только в том	4	7
22	с одной стороны	4	7
23	в то же	11	6
24	в первую очередь	2	6
25	то же время	11	6
26	речь идет о	2	5
27	но все же	2	5
28	что же касается	2	5
29	в данном случае	3	5
30	и в этом	3	5
31	в конечном счете	4	4
32	в первом случае	2	4
33	так же как	2	4
34	к тому что	8	4
35	на то что	2	4
36	состоит в том	3	4
37	так или иначе	3	4
38	о том как	4	3
39	том случае если	2	3
40	вместо того чтобы	2	3
41	не только для	2	3
42	самом деле в	2	2
43	что он не	3	2
44	так и не	3	2
45	друг от друга	2	2
46	не более чем	2	2
47	и тех же	2	2
48	одних и тех	2	2
49	если бы не	2	2
50	и в то	2	2
