N	2gram	Vygotskiy_	Dialekti
1	не есть	4	181
2	и не	19	120
3	и т	12	82
4	по себе	13	79
5	а не	16	78
6	и в	55	77
7	т д	6	75
8	точки зрения	15	72
9	может быть	34	71
10	не только	24	66
11	то что	69	59
12	и есть	7	55
13	ничего не	4	54
14	это значит	2	54
15	не может	15	53
16	и даже	4	47
17	так как	20	46
18	с точки	5	46
19	есть нечто	3	46
20	что это	15	46
21	потому что	48	45
22	не просто	6	44
23	как бы	33	43
24	ни в	5	42
25	и что	45	42
26	не имеет	2	41
27	вовсе не	8	41
28	в том	50	40
29	что такое	2	39
30	в этом	30	39
31	то же	16	39
32	в себе	13	38
33	это есть	3	38
34	что она	10	38
35	том что	46	37
36	что он	30	37
37	прежде всего	6	37
38	это не	9	36
39	так что	8	36
40	она есть	2	35
41	что в	43	34
42	в нем	13	34
43	и все	15	33
44	того что	12	33
45	но и	16	32
46	все это	8	31
47	ясно что	10	31
48	и как	10	30
49	сказать что	14	30
50	так и	6	29
51	было бы	15	29
52	как и	9	28
53	никогда не	15	27
54	в виду	5	26
55	не в	12	26
56	сама по	3	26
57	есть только	3	25
58	есть не	7	25
59	и то	12	25
60	если бы	21	24
61	но это	2	24
62	и вот	7	23
63	в то	6	23
64	это и	7	23
65	что оно	12	23
66	таким образом	35	23
67	или от	2	22
68	но что	3	22
69	что не	5	21
70	должна быть	2	21
71	в каком	7	20
72	что все	12	20
73	только в	12	20
74	как раз	19	20
75	и вообще	2	20
76	что и	11	20
77	совершенно не	11	20
78	о том	24	20
79	и с	3	20
80	в таком	4	20
81	в своем	12	19
82	что мы	12	19
83	как это	16	19
84	и это	13	19
85	в самом	18	19
86	не существует	3	19
87	и его	10	19
88	иное как	2	18
89	не что	2	18
90	что иное	2	18
91	с другой	12	18
92	хотя бы	5	18
93	же время	2	18
94	ни на	3	18
95	жизни и	8	18
96	но если	3	17
97	в основе	9	17
98	той или	2	17
99	в сущности	14	17
100	можно сказать	4	17
101	должно быть	6	17
102	в особенности	3	17
103	в своей	8	16
104	мы не	8	16
105	только не	5	16
106	сам по	4	16
107	да и	4	16
108	одно и	3	16
109	то это	6	16
110	об этом	5	16
111	само по	3	16
112	конечно не	3	16
113	и о	5	15
114	быть и	2	15
115	только что	11	15
116	но только	3	15
117	все же	11	15
118	так же	19	15
119	в виде	3	15
120	самом деле	17	15
121	и мы	28	15
122	на то	27	15
123	несмотря на	5	15
124	мы уже	7	15
125	и потому	8	14
126	что тут	2	14
127	жизнь и	2	14
128	с ним	4	14
129	даже и	2	14
130	есть то	2	14
131	не было	2	14
132	и только	5	14
133	ни о	2	13
134	и следовательно	3	13
135	в силу	3	13
136	не то	4	13
137	но в	7	13
138	в ней	5	13
139	и та	5	13
140	время как	5	13
141	отличается от	4	13
142	говорит о	5	13
143	он не	10	13
144	что именно	7	13
145	мы находим	2	13
146	что они	11	13
147	другой стороны	8	13
148	и к	5	13
149	вопрос о	6	12
150	могут быть	8	12
151	еще не	6	12
152	все эти	5	12
153	никак не	10	12
154	все равно	3	12
155	именно в	9	12
156	и если	13	12
157	перед нами	5	12
158	не могут	4	12
159	но как	3	12
160	и ни	4	12
161	а в	7	12
162	и может	3	12
163	нет никакого	2	12
164	с этим	4	12
165	но не	9	12
166	та же	6	11
167	мы должны	10	11
168	нисколько не	3	11
169	себе не	2	11
170	оно есть	2	11
171	от того	6	11
172	и тем	6	11
173	только на	4	11
174	его не	2	11
175	в них	7	11
176	что если	9	11
177	в данном	4	11
178	мы имеем	10	11
179	как только	5	11
180	из них	7	11
181	или в	6	11
182	нет никакой	2	10
183	может и	2	10
184	в душе	2	10
185	к тому	12	10
186	в ее	3	10
187	как мы	6	10
188	в его	8	10
189	это было	4	10
190	нет ни	4	10
191	для того	45	10
192	с этой	5	10
193	себе и	4	10
194	и для	13	10
195	что для	6	10
196	оно не	2	10
197	и можно	2	10
198	если же	3	10
199	в их	3	10
200	в частности	6	10
201	не больше	3	10
202	это будет	2	10
203	мы видим	13	10
204	во всяком	2	10
205	и уже	4	10
206	в результате	6	10
207	времени и	5	10
208	как будто	7	10
209	в жизни	2	10
210	во всем	3	10
211	если вы	2	10
212	если мы	24	10
213	только о	2	10
214	как он	6	9
215	точка зрения	4	9
216	иметь в	3	9
217	превращается в	2	9
218	не как	3	9
219	в этих	3	9
220	в котором	5	9
221	тому как	3	9
222	той же	6	9
223	в одном	5	9
224	или иной	2	9
225	и от	2	9
226	была бы	4	9
227	тому что	11	9
228	же как	4	9
229	при этом	11	9
230	и когда	12	9
231	и он	7	9
232	в противоположность	3	9
233	то время	4	9
234	всех этих	3	9
235	бы в	7	9
236	мы можем	8	9
237	на этом	11	9
238	и на	12	9
239	на самом	9	8
240	в отношении	2	8
241	от него	5	8
242	не будет	3	8
243	в этой	15	8
244	все время	44	8
245	у нас	7	8
246	и из	3	8
247	с одной	15	8
248	но все	5	8
249	что эта	8	8
250	даже в	2	8
251	в одной	4	8
252	при помощи	5	8
253	одна и	2	8
254	один из	9	8
255	в поэзии	5	8
256	но она	3	8
257	когда мы	10	8
258	что есть	3	8
259	нет и	2	8
260	этом смысле	4	8
261	себя в	4	8
262	это мы	2	8
263	что здесь	3	7
264	и где	2	7
265	в конце	10	7
266	из этих	4	7
267	он должен	8	7
268	и при	3	7
269	что этот	3	7
270	связи с	2	7
271	его с	2	7
272	на первый	2	7
273	тем что	8	7
274	думать что	3	7
275	эти две	4	7
276	как она	9	7
277	во внимание	5	7
278	мы и	2	7
279	без всякого	3	7
280	нуждается в	3	7
281	не потому	2	7
282	эти два	3	7
283	сами по	2	7
284	со стороны	3	7
285	от себя	2	7
286	не знает	2	7
287	с его	6	7
288	зависимости от	9	7
289	и их	3	7
290	как в	4	7
291	заключается в	13	7
292	из которых	5	7
293	так чтобы	2	7
294	как на	15	7
295	отношения к	2	7
296	но он	6	7
297	и времени	2	6
298	оказывается что	2	6
299	в другом	3	6
300	то мы	2	6
301	если только	4	6
302	это как	2	6
303	с тем	10	6
304	для своего	2	6
305	они не	3	6
306	того чтобы	43	6
307	в зависимости	7	6
308	себя и	3	6
309	никто не	4	6
310	одна из	6	6
311	для этого	12	6
312	нем нет	3	6
313	в которой	4	6
314	что нет	3	6
315	в каком-то	2	6
316	но они	2	6
317	идет речь	3	6
318	как все	4	6
319	в себя	2	6
320	вместе с	16	6
321	его в	2	6
322	о чем	4	6
323	по существу	4	6
324	о нем	3	6
325	больше того	3	6
326	одной стороны	15	6
327	этой точки	3	6
328	и совершенно	8	6
329	когда она	3	6
330	можно было	6	6
331	того как	4	6
332	показывает что	3	6
333	во всех	6	6
334	о котором	9	6
335	стороны и	5	6
336	для него	5	6
337	не с	2	6
338	ее в	2	6
339	мог бы	3	6
340	уже в	7	6
341	во времени	2	5
342	из того	4	5
343	но мы	4	5
344	с той	2	5
345	были бы	3	5
346	говорил что	2	5
347	же мы	3	5
348	даны в	2	5
349	надо было	2	5
350	гораздо более	3	5
351	что на	6	5
352	почти не	2	5
353	же не	2	5
354	и во	2	5
355	по сравнению	4	5
356	ли это	3	5
357	мы еще	2	5
358	не является	3	5
359	и наконец	5	5
360	все остальное	2	5
361	сих пор	9	5
362	или на	2	5
363	едва ли	3	5
364	мы всегда	2	5
365	например в	2	5
366	что у	7	5
367	он может	3	5
368	учения о	3	5
369	их в	4	5
370	в своих	9	5
371	если это	4	5
372	когда он	10	5
373	если он	2	5
374	от нее	2	5
375	из этого	7	5
376	конце концов	6	5
377	сравнению с	4	5
378	первый план	3	5
379	в это	2	5
380	не раз	2	5
381	в области	2	5
382	одной и	4	5
383	в него	5	5
384	это может	2	5
385	тех пор	2	5
386	что с	8	5
387	в качестве	2	5
388	и той	4	5
389	к этому	5	5
390	к ней	3	5
391	мы только	3	5
392	и другое	6	5
393	одного и	2	5
394	со всей	4	5
