N	2gram	Potebnia_M	Analitik
1	не только	32	71
2	тогда как	10	67
3	и в	58	66
4	но и	26	57
5	в том	38	52
6	может быть	47	52
7	в этом	18	51
8	как и	16	50
9	и не	34	48
10	а не	38	42
11	том что	21	40
12	при этом	17	40
13	так и	17	35
14	то есть	69	35
15	в мире	3	31
16	не может	30	29
17	как бы	12	29
18	а в	11	28
19	в его	7	27
20	и его	7	27
21	не в	23	26
22	но не	19	26
23	в себе	22	24
24	к тому	5	22
25	и даже	4	22
26	в этой	3	22
27	что в	34	22
28	лишь в	2	21
29	о том	6	20
30	по отношению	15	19
31	но в	12	19
32	в своей	3	19
33	то же	13	19
34	в самом	5	19
35	с его	3	19
36	в то	6	18
37	отношению к	13	18
38	тем самым	6	17
39	с другой	13	17
40	со стороны	11	17
41	в целом	3	17
42	только в	36	17
43	могут быть	17	16
44	то что	24	16
45	что и	16	16
46	не есть	13	15
47	в их	3	15
48	прежде всего	8	15
49	в сущности	2	15
50	уже не	4	15
51	и на	8	15
52	между тем	7	15
53	не менее	10	14
54	того же	13	14
55	далеко не	4	14
56	столь же	6	14
57	же время	4	14
58	в себя	2	14
59	по себе	24	13
60	ничего не	2	13
61	точки зрения	8	13
62	в начале	2	13
63	этого слова	5	13
64	для него	13	13
65	он не	4	13
66	никогда не	7	12
67	есть не	7	12
68	еще не	9	12
69	как в	18	12
70	в свою	8	11
71	это не	10	11
72	нуждается в	2	11
73	по своей	2	11
74	и как	11	11
75	не с	2	11
76	той же	3	11
77	не следует	6	11
78	все же	11	10
79	однако в	4	10
80	один из	2	10
81	было бы	21	10
82	и самого	2	10
83	подобно тому	7	10
84	с одной	7	10
85	именно в	2	10
86	здесь не	2	10
87	отношения к	2	10
88	в своем	3	9
89	того что	15	9
90	не столько	3	9
91	одной стороны	6	9
92	крайней мере	6	9
93	свою очередь	8	9
94	имеет место	4	9
95	по поводу	7	9
96	другой стороны	7	9
97	за пределы	4	9
98	во всех	12	9
99	только не	2	9
100	по крайней	6	9
101	что касается	2	9
102	тому как	8	9
103	и того	6	9
104	таким образом	21	9
105	вместе с	12	9
106	не всегда	2	8
107	что он	5	8
108	дело с	2	8
109	и все	6	8
110	одного из	3	8
111	хотя и	6	8
112	о его	2	8
113	если бы	23	8
114	времени и	3	8
115	с точки	4	8
116	с ним	7	8
117	иное как	2	7
118	в другом	3	7
119	и тем	5	7
120	от себя	2	7
121	место в	3	7
122	в ее	2	7
123	все это	3	7
124	во всяком	9	7
125	одна из	4	7
126	в противоположность	2	7
127	себя и	3	7
