N	3gram	Propp_Russ	Analitik
1	в том что	27	25
2	о том что	6	15
3	в данном случае	7	14
4	в отличие от	4	14
5	подобно тому как	3	9
6	в свою очередь	2	9
7	в том чтобы	2	9
8	с точки зрения	3	8
9	состоит в том	16	8
10	что иное как	3	7
11	тем не менее	3	6
12	не что иное	3	6
13	в этом случае	9	5
14	для того чтобы	6	4
15	на себя внимание	2	4
16	и в этом	2	4
17	в равной степени	2	4
18	в связи с	4	3
19	тех случаях когда	2	2
20	в тех случаях	2	2
21	с этого момента	2	2
22	здесь мы имеем	2	2
23	можно было бы	2	2
24	к тому что	4	2
25	во многих отношениях	2	2
26	совершенно очевидно что	2	2
27	на то что	2	2
28	по своему происхождению	2	2
