N	3gram	Bakhtin_fo	Mirosoze
1	не может быть	4	28
2	но он не	2	9
3	в том что	4	9
4	для того чтобы	11	7
5	друг к другу	2	6
6	о том что	2	6
7	вместе с тем	3	6
8	и в этом	2	6
9	прежде всего в	3	5
10	но и в	5	5
11	может быть и	4	5
12	до сих пор	4	5
13	по отношению к	3	4
14	в нем нет	2	4
15	то время как	2	4
16	в то время	3	4
17	это значит что	2	3
18	одна и та	2	3
19	с тем что	2	3
20	и та же	2	3
21	как и в	3	3
22	же как и	2	3
23	на протяжении всего	2	3
24	также и в	3	3
25	так же как	2	3
26	так как он	2	3
27	по сравнению с	3	3
28	в центре его	2	2
29	и у него	2	2
30	все более и	2	2
31	лежит в основе	2	2
32	в чем не	3	2
33	в этом отношении	5	2
34	не только в	6	2
35	ни в чем	3	2
36	в нем не	3	2
37	с самим собою	4	2
38	мы еще вернемся	3	2
39	по природе своей	2	2
40	более и более	2	2
