N	3gram	Vygotskiy_	Mirosoze
1	не может быть	14	28
2	в том что	21	9
3	для того чтобы	11	7
4	о том что	9	6
5	вместе с тем	3	6
6	до сих пор	8	5
7	в отношении к	3	5
8	не было бы	3	5
9	что и в	5	5
10	мы увидим что	2	5
11	от того что	2	4
12	в конце концов	6	4
13	на то что	12	4
14	и в самом	3	4
15	заключает в себе	3	4
16	не что иное	2	4
17	то время как	6	4
18	потому что он	2	4
19	можно было бы	2	4
20	в то время	6	4
21	что иное как	2	4
22	во всяком случае	7	3
23	том что он	2	3
24	с тем что	2	3
25	одной и той	5	3
26	как и в	5	3
27	же как и	2	3
28	и той же	5	3
29	к тому что	2	3
30	потому что она	2	3
31	выходит за пределы	2	3
32	так же как	8	3
33	как будто бы	2	3
34	по сравнению с	3	3
35	он не может	3	2
36	оно не может	2	2
37	никогда не может	3	2
38	лежит в основе	2	2
39	на то чтобы	3	2
40	тот и другой	2	2
41	смысле этого слова	2	2
42	подобно тому как	7	2
43	в этом отношении	7	2
44	именно потому что	2	2
45	не могут быть	2	2
46	к тому чтобы	3	2
47	и не может	2	2
48	и те же	3	2
49	он не только	3	2
