N	2gram	Potebnia_M	DiskursI
1	а не	22	60
2	может быть	46	56
3	не только	32	49
4	и в	48	49
5	как и	22	47
6	тогда как	8	47
7	при этом	6	46
8	в том	47	44
9	и не	28	44
10	то есть	53	41
11	том что	28	40
12	в этом	19	38
13	в себе	26	37
14	но и	30	35
15	но не	8	31
16	со стороны	4	28
17	так и	17	28
18	отличие от	2	28
19	но в	8	28
20	не может	18	27
21	как в	17	25
22	еще не	9	23
23	все же	3	19
24	прежде всего	6	19
25	в нем	16	19
26	в своей	2	19
27	далеко не	5	18
28	по отношению	12	17
29	в данном	3	17
30	то же	35	17
31	с другой	8	17
32	отношению к	10	17
33	в мире	3	17
34	точки зрения	4	16
35	только в	29	16
36	в его	6	15
37	то что	37	15
38	о том	7	15
39	это не	2	14
40	не в	24	14
41	не менее	9	14
42	одной стороны	4	14
43	можно сказать	4	14
44	с одной	8	14
45	в целом	5	13
46	для него	14	13
47	как бы	10	13
48	данном случае	3	12
49	в своем	6	12
50	и все	5	12
51	того же	5	12
52	при всей	2	12
53	в своих	2	12
54	и на	5	12
55	что в	30	11
56	и как	8	11
57	столь же	8	11
58	не было	12	11
59	для себя	3	10
60	а в	14	10
61	а с	4	10
62	не столько	2	10
63	же время	8	10
64	тем самым	11	9
65	в то	16	9
66	в силу	7	9
67	между тем	19	9
68	в них	9	9
69	уже не	11	9
70	внимание на	2	9
71	человека в	2	8
72	этом отношении	2	8
73	и о	6	8
74	к тому	9	8
75	потому что	82	8
76	хотя и	3	8
77	если в	2	8
78	и даже	3	8
79	в этих	2	8
80	не с	4	8
81	в котором	7	8
82	в одном	4	8
83	из них	11	8
84	он не	4	8
85	не следует	6	8
86	перед нами	3	7
87	его в	6	7
88	могут быть	6	7
89	одной из	3	7
90	но это	9	7
91	в процессе	2	7
92	что и	16	7
93	например в	9	7
94	в этой	3	7
95	другой стороны	4	7
96	к этому	3	7
97	лишь в	2	7
98	ни в	2	7
99	той же	6	7
100	и его	4	7
101	таким образом	24	7
102	никогда не	2	6
103	к его	2	6
