N	2gram	Ircho_Kome	NovoeSre
1	а не	5	17
2	и в	37	16
3	не может	9	16
4	нового времени	5	12
5	и не	28	11
6	и есть	3	10
7	в эпоху	2	9
8	что в	11	9
9	как не	2	8
10	в том	24	8
11	он не	11	8
12	не будет	2	7
13	может быть	14	7
14	как и	10	7
15	в новой	2	7
16	в этом	18	7
17	никогда не	5	6
18	в высшей	2	6
19	ни в	14	6
20	не в	7	6
21	высшей степени	2	6
22	не знает	7	6
23	с его	6	6
24	не только	13	5
25	должен быть	2	5
26	все это	7	5
27	в нем	8	5
28	в ней	7	5
29	и к	4	5
30	по своему	3	4
31	в них	6	4
32	и для	7	4
33	не имеет	6	4
34	прежде всего	7	4
35	не менее	9	4
36	не было	6	4
37	и потому	2	4
38	и мы	5	4
39	то что	5	4
40	о том	21	4
41	это не	3	4
42	потому что	19	4
43	и все	6	4
44	в мире	2	3
45	но и	18	3
46	с другой	5	3
47	в ее	3	3
48	она не	3	3
49	к тому	11	3
50	к лицу	2	3
51	в своей	6	3
52	еще не	10	3
53	к ним	5	3
54	в истории	2	3
55	человека и	2	3
56	должна быть	2	3
57	как в	4	3
58	конечно не	4	3
59	за пределы	3	3
60	сказать что	4	3
61	во всех	4	3
62	вопрос о	2	3
63	возвращение к	2	3
64	наряду с	4	3
65	в основе	3	3
66	с тем	6	3
67	время как	3	2
68	в себе	4	2
69	что она	10	2
70	как будто	3	2
71	и с	5	2
72	том чтобы	4	2
73	для этого	3	2
74	себя в	3	2
75	но не	9	2
76	нет и	4	2
77	и от	3	2
78	роль в	3	2
79	того чтобы	9	2
80	и это	4	2
81	хотя бы	5	2
82	а в	12	2
83	все время	3	2
84	но в	7	2
85	том что	22	2
86	и на	6	2
87	с этим	5	2
88	и что	8	2
89	мы не	6	2
90	в смысле	2	2
91	можно было	3	2
92	времени в	2	2
93	у него	10	2
94	времени и	2	2
95	равно как	7	2
96	по существу	4	2
97	как это	5	2
98	другой стороны	2	2
99	так же	8	2
100	так и	4	2
101	такого рода	2	2
102	могут быть	3	2
103	одной стороны	4	2
104	такой же	2	2
105	в то	14	2
106	который в	3	2
107	не могла	3	2
108	хотя и	6	2
109	должно было	3	2
110	с одной	5	2
111	и даже	6	2
112	в центре	2	2
113	вместе с	16	2
114	я не	4	2
