N	2gram	Bakhtin_Fr	UchenyiS
1	и в	105	14
2	не только	24	10
3	и не	34	8
4	прежде всего	26	8
5	то что	7	7
6	не может	9	7
7	в этом	22	7
8	в искусстве	3	6
9	может быть	11	6
10	перестает быть	3	5
11	то же	6	5
12	хотя бы	2	5
13	все это	16	5
14	но и	20	4
15	в этой	11	4
16	с другой	3	4
17	в их	6	4
18	конечно не	2	4
19	не о	2	3
20	в частности	6	3
21	и т.д	2	3
22	это не	4	3
23	в своей	8	3
24	все же	10	3
25	как и	15	3
26	в то	5	3
27	но в	16	3
28	же время	5	3
29	было бы	4	3
30	в области	10	3
31	для него	12	3
32	в самом	7	2
33	в себе	7	2
34	что мы	2	2
35	и у	7	2
36	мы и	4	2
37	о чем	3	2
38	на эту	2	2
39	что он	5	2
40	литературы и	7	2
41	таким образом	5	2
42	формы и	7	2
43	но не	7	2
44	и для	3	2
45	между тем	5	2
46	самом деле	3	2
47	только в	16	2
48	одним из	4	2
49	а его	2	2
50	ничего не	3	2
51	всех этих	10	2
52	даже и	5	2
53	и с	8	2
54	что и	2	2
55	при таком	2	2
56	могут быть	4	2
57	меньшей степени	8	2
58	но даже	2	2
59	не могут	4	2
60	это было	2	2
61	превращается в	6	2
62	сих пор	7	2
63	тем что	5	2
64	том что	9	2
65	в его	24	2
66	это уже	4	2
67	в том	17	2
68	этом отношении	5	2
69	с его	9	2
70	как раз	3	2
71	а о	2	2
72	но это	5	2
73	по существу	2	2
74	не в	4	2
75	в конце	3	2
76	в системе	3	2
77	в некоторых	2	2
78	до сих	7	2
