N	3gram	Bakhtin_Pr	Vvedenie
1	и т д	4	39
2	в том что	6	15
3	о том что	2	13
4	в этом смысле	12	10
5	не может быть	8	10
6	тем не менее	2	9
7	до сих пор	9	7
8	в то же	13	6
9	в самом деле	6	6
10	то же время	13	6
11	во всяком случае	4	5
12	на этот вопрос	2	5
13	и т п	10	5
14	с другой стороны	6	5
15	по крайней мере	2	4
16	не только в	2	4
17	в данном случае	2	4
18	само по себе	4	4
19	т е в	3	4
20	в этом отношении	3	4
21	и в этом	5	4
22	но все же	3	4
23	по отношению к	12	4
24	в отличие от	4	4
25	с точки зрения	21	4
26	можно было бы	3	4
27	большей или меньшей	2	3
28	в зависимости от	5	3
29	можно сказать что	2	3
30	что может быть	3	3
31	сама по себе	5	3
32	но в то	7	3
33	здесь не место	2	2
34	как мы уже	2	2
35	сам по себе	2	2
36	подобно тому как	3	2
37	в целом ряде	2	2
38	этой точки зрения	2	2
39	в конце концов	7	2
40	в этих случаях	2	2
41	может быть и	2	2
42	хотя бы и	3	2
43	т е не	2	2
