N	2gram	Bakhtin_Fr	NovoeSre
1	а не	6	17
2	и в	67	16
3	не может	9	16
4	нового времени	6	12
5	и не	23	11
6	и есть	5	10
7	в эпоху	17	9
8	что в	14	9
9	жизни и	11	8
10	в том	16	8
11	он не	9	8
12	не будет	2	7
13	может быть	4	7
14	средние века	2	7
15	как и	19	7
16	в этом	27	7
17	никогда не	6	6
18	лишь в	3	6
19	ни в	5	6
20	не в	8	6
21	но это	10	6
22	с его	11	6
23	не только	23	5
24	в жизни	4	5
25	должен быть	2	5
26	все это	15	5
27	в нем	20	5
28	с ее	7	5
29	в ней	10	5
30	и к	7	5
31	по своему	5	4
32	в них	12	4
33	и для	4	4
34	не имеет	4	4
35	прежде всего	19	4
36	не менее	4	4
37	не было	3	4
38	перестает быть	3	4
39	то что	9	4
40	о том	8	4
41	это не	5	4
42	потому что	8	4
43	и все	18	4
44	большую роль	2	4
45	тому как	2	3
46	но и	23	3
47	подобно тому	2	3
48	с другой	3	3
49	в ее	2	3
50	к тому	4	3
51	жизни в	3	3
52	в своей	6	3
53	еще не	5	3
54	к ним	2	3
55	в истории	2	3
56	как в	4	3
57	конечно не	5	3
58	за пределы	4	3
59	в духе	4	3
60	сказать что	12	3
61	во всех	20	3
62	это было	4	3
63	в основе	6	3
64	с тем	3	3
65	в средние	2	3
66	в себе	3	2
67	что она	4	2
68	как будто	2	2
69	для нового	2	2
70	все они	7	2
71	и с	18	2
72	формы и	2	2
73	для этого	2	2
74	но не	6	2
75	духа в	2	2
76	нет и	4	2
77	и т.п	31	2
78	что все	4	2
79	думать что	2	2
80	и от	6	2
81	мира а	2	2
82	роль в	5	2
83	войны и	2	2
84	того чтобы	9	2
85	и это	5	2
86	хотя бы	2	2
87	в новом	3	2
88	же как	4	2
89	свободы и	2	2
90	а в	4	2
91	все время	3	2
92	но в	20	2
93	том что	13	2
94	мир и	5	2
95	и на	12	2
96	с этим	6	2
97	средневековья и	2	2
98	есть в	5	2
99	и что	3	2
100	все эти	12	2
101	права и	3	2
102	мы не	6	2
103	на протяжении	2	2
104	жизнью в	2	2
105	можно было	5	2
106	это и	10	2
107	связаны с	8	2
108	времени в	2	2
109	в мировой	3	2
110	мира и	10	2
111	у него	4	2
112	самой жизни	2	2
113	времени и	4	2
114	по существу	4	2
115	как это	5	2
116	другой стороны	2	2
117	права на	2	2
118	так же	13	2
119	так и	14	2
120	одной стороны	2	2
121	такой же	5	2
122	но она	5	2
123	в то	17	2
124	века и	2	2
125	хотя и	6	2
126	связана с	5	2
127	мысли и	6	2
128	с одной	2	2
129	место в	3	2
130	и даже	6	2
131	более не	2	2
132	ведь и	3	2
133	сильнее и	2	2
134	вместе с	5	2
135	старый мир	3	2
