N	2gram	Nazirov_Vr	Myslijsy
1	и в	8	121
2	может быть	4	107
3	в том	3	103
4	то что	7	83
5	для нас	4	75
6	что в	7	73
7	и не	5	73
8	не только	9	67
9	таким образом	2	64
10	том что	3	59
11	в этом	8	59
12	но и	7	59
13	то же	5	56
14	в себе	2	53
15	не может	2	52
16	в нем	6	45
17	как и	6	42
18	вместе с	2	39
19	при этом	4	37
20	тем что	3	33
21	и что	8	32
22	а в	2	30
23	между тем	5	29
24	для него	2	28
25	не было	5	26
26	в то	5	24
27	как бы	4	23
28	но в	6	22
29	не менее	2	21
30	в ней	4	20
31	это не	4	20
32	и как	3	19
33	с ним	4	19
34	и то	2	19
35	но это	2	19
36	о том	4	19
37	еще не	2	18
38	там же	2	18
39	тогда как	2	18
40	что я	2	18
41	в его	3	17
42	точки зрения	2	17
43	уже в	4	17
44	в своем	3	16
45	так же	4	16
46	в них	2	16
47	на то	3	16
48	что он	4	15
49	в свою	2	15
50	уже не	2	15
51	связи с	3	14
52	в истории	4	14
53	столь же	2	14
54	в котором	6	14
55	все же	6	14
56	же время	5	14
57	и все	7	13
58	из них	2	13
59	и его	3	13
60	никогда не	2	12
61	все это	4	12
62	тем более	2	12
63	в чем	3	12
64	его в	3	11
65	с нею	2	11
66	же в	2	11
67	и это	2	11
68	так в	2	10
69	он не	3	10
70	и с	6	10
71	и даже	6	9
72	и о	3	9
73	далеко не	3	9
74	с точки	2	9
75	во время	2	9
76	при помощи	2	8
77	в глазах	2	8
78	их в	2	8
79	что есть	3	8
80	том же	2	7
81	в эту	2	7
82	и во	3	7
83	место в	2	7
84	его с	2	7
85	что у	3	7
86	в своих	4	7
87	но как	2	7
88	на это	2	7
89	к этому	3	7
90	несмотря на	4	7
91	его на	2	6
92	в виду	4	6
93	в своей	2	6
94	в этой	2	6
95	в мире	2	6
96	давно уже	3	6
97	к ним	2	6
98	об этом	5	6
99	и уже	3	6
100	у него	5	6
101	но он	3	6
102	как же	2	5
103	а с	2	5
104	рядом с	2	5
105	одна из	2	5
106	отношение к	2	5
107	и у	3	5
108	ответ на	2	5
109	в начале	6	5
110	по мнению	2	5
111	человека в	3	5
112	одним из	3	5
113	время и	2	5
114	в той	2	5
115	при создании	2	4
116	начиная с	2	4
117	от сознания	2	4
118	не мог	2	4
119	эти слова	3	4
120	что к	2	4
121	в связи	3	4
122	с его	3	4
123	нашего времени	2	4
124	во многом	4	4
125	отношения к	2	4
126	и ее	2	3
127	мы знаем	2	3
128	в известном	2	3
129	в нашей	2	3
130	о влиянии	2	3
131	о которой	2	3
132	после этого	2	3
133	это в	2	3
134	б и	2	3
135	человека с	2	3
136	с которым	2	3
137	он сам	2	3
138	на первый	2	3
139	же не	2	2
140	могли быть	2	2
141	целый ряд	4	2
142	в это	2	2
143	который был	3	2
144	пришел к	2	2
145	о нем	6	2
146	же как	2	2
147	я не	3	2
148	его и	2	2
