N	3gram	Trubetskoy	Dialekti
1	с точки зрения	6	46
2	по крайней мере	5	26
3	в том что	3	25
4	тем не менее	3	16
5	то же время	2	15
6	в то же	2	14
7	о том что	4	12
8	на то что	2	11
9	то или иное	2	9
10	и в этом	2	9
11	той или иной	2	7
12	можно сказать что	2	7
13	точно так же	3	7
14	в связи с	3	7
15	так или иначе	3	7
16	более или менее	5	6
17	для того чтобы	5	6
18	может быть и	2	6
19	во всяком случае	6	6
20	с одной стороны	7	6
21	в конце концов	3	5
22	ничего общего с	2	5
23	до сих пор	5	5
24	по сравнению с	2	5
25	то же самое	2	4
26	с тех пор	2	4
27	так же как	3	4
28	этой точки зрения	2	4
29	с этой точки	2	4
30	к тому же	4	4
31	то ясно что	2	4
32	в этом отношении	2	4
33	бы то ни	2	3
34	с самого начала	2	3
35	но все же	4	3
36	некоторые из них	2	2
37	друг с другом	5	2
38	потому что и	2	2
39	но все это	2	2
40	а так как	3	2
41	и вместе с	4	2
