N	3gram	Losev_Prob	slovoVRo
1	не может быть	2	19
2	в то же	2	18
3	той или иной	4	15
4	с точки зрения	13	15
5	в той или	2	13
6	с одной стороны	5	11
7	во всяком случае	6	8
8	но в то	2	7
9	с другой стороны	7	6
10	но все же	2	6
11	в том что	13	5
12	в этом отношении	4	5
13	не только в	5	5
14	по отношению к	2	5
15	для того чтобы	3	4
16	то есть как	2	4
17	в новое время	3	4
18	а также и	3	4
19	до сих пор	3	4
20	можно сказать что	4	4
21	в свою очередь	2	4
22	может быть только	6	3
23	в данном случае	5	3
24	в связи с	11	3
25	и не в	2	3
26	того или иного	2	3
27	тех или иных	2	3
28	сама по себе	2	3
29	и в частности	4	2
30	далеко не всегда	3	2
31	ни в чем	2	2
32	о том что	14	2
33	для нас в	2	2
34	хотя и не	3	2
35	можно было бы	2	2
36	в то время	4	2
37	с самого начала	3	2
38	до некоторой степени	4	2
39	к своему пределу	2	2
40	но и в	2	2
41	этой точки зрения	2	2
42	в чем не	2	2
43	то время как	4	2
44	с этой точки	2	2
45	тем не менее	8	2
