N	3gram	Tiupa_Narr	FransuaR
1	в то же	7	55
2	то же время	7	55
3	до сих пор	3	27
4	в том что	11	27
5	в этом отношении	5	20
6	с точки зрения	2	20
7	для того чтобы	4	17
8	о том что	3	17
9	в связи с	3	16
10	но и в	4	15
11	не может быть	6	13
12	дело в том	2	13
13	с одной стороны	5	13
14	и в то	2	12
15	можно сказать что	5	11
16	в отличие от	6	11
17	той или иной	6	10
18	в данном случае	12	10
19	не только в	12	10
20	по отношению к	5	9
21	существенную роль в	3	9
22	более или менее	2	8
23	в самом деле	3	7
24	подобно тому как	4	7
25	к тому же	8	6
26	в свою очередь	2	6
27	во всяком случае	2	5
28	то же самое	3	5
29	в первом случае	3	5
30	как бы в	2	5
31	как раз в	3	5
32	начало и конец	3	4
33	в нем не	2	4
34	и не может	3	4
35	так и не	2	3
36	не только не	2	3
37	и т.п и	2	3
38	одного и того	2	3
39	и того же	2	3
40	а с другой	2	3
41	на другой день	4	2
42	к себе самому	3	2
43	в конечном счете	4	2
44	они и не	2	2
45	но при этом	3	2
46	но и на	2	2
47	в известном смысле	4	2
48	но и не	2	2
49	что у него	2	2
