N	2gram	Bakhtin_fo	Analitik
1	не только	16	71
2	и в	84	66
3	в качестве	6	61
4	но и	14	57
5	в том	16	52
6	может быть	18	52
7	в частности	11	51
8	в этом	41	51
9	как и	15	50
10	и не	19	48
11	а не	7	42
12	том что	7	40
13	при этом	8	40
14	так и	17	35
15	то есть	42	35
16	в мире	4	31
17	не может	8	29
18	как бы	11	29
19	отнюдь не	7	29
20	а в	6	28
21	в его	19	27
22	и его	26	27
23	не в	10	26
24	но не	9	26
25	в себе	7	24
26	к тому	6	22
27	и даже	5	22
28	в этой	3	22
29	что в	9	22
30	лишь в	8	21
31	и т.п	6	20
32	о том	4	20
33	по отношению	3	19
34	но в	16	19
35	в своей	2	19
36	то же	18	19
37	в самом	9	19
38	с его	10	19
39	в то	13	18
40	в данном	4	18
41	отношению к	5	18
42	или иной	4	17
43	с другой	4	17
44	в целом	2	17
45	только в	12	17
46	могут быть	7	16
47	то что	13	16
48	в пределах	8	16
49	что и	5	16
50	в их	9	15
51	прежде всего	28	15
52	в сущности	5	15
53	уже не	5	15
54	и на	13	15
55	данном случае	2	14
56	отличие от	3	14
57	того же	9	14
58	той или	3	14
59	мы имеем	2	14
60	себя в	2	14
61	в отличие	3	14
62	далеко не	3	14
63	же время	13	14
64	в себя	3	14
65	по себе	3	13
66	ничего не	9	13
67	точки зрения	14	13
68	в начале	3	13
69	как раз	13	13
70	этого слова	2	13
71	для него	5	13
72	а также	5	13
73	он не	6	13
74	тому же	2	13
75	никогда не	8	12
76	и к	4	12
77	есть не	4	12
78	как это	2	12
79	еще не	8	12
80	в эпизоде	6	12
81	как в	10	12
82	и сам	2	12
83	в свою	2	11
84	это не	8	11
85	и как	12	11
86	можно сказать	2	11
87	той же	2	11
88	в той	5	11
89	в конце	11	10
90	все же	12	10
91	на себя	2	10
92	один из	5	10
93	было бы	2	10
94	особенно в	3	10
95	с одной	5	10
96	именно в	5	10
97	со своей	3	10
98	здесь не	5	10
99	отношения к	7	10
100	в своем	8	9
101	того что	5	9
102	не столько	2	9
103	как уже	3	9
104	одной стороны	3	9
105	имеет место	6	9
106	во всех	13	9
107	в результате	6	9
108	на фоне	3	9
109	автора и	4	9
110	вступает в	2	9
111	и того	7	9
112	таким образом	14	9
113	вместе с	9	9
114	о чем	4	8
115	роль в	12	8
116	что он	2	8
117	одной из	3	8
118	и все	10	8
119	этом отношении	5	8
120	хотя и	5	8
121	в основе	9	8
122	между двумя	6	8
123	если бы	6	8
124	не является	4	8
125	времени и	10	8
126	с точки	9	8
127	с ним	5	8
128	во времени	6	7
129	вплоть до	3	7
130	в литературе	17	7
131	картины мира	2	7
132	в другом	2	7
133	в соответствии	2	7
134	по природе	2	7
135	место в	4	7
136	в ее	6	7
137	все это	10	7
138	во всяком	5	7
139	одна из	3	7
140	по преимуществу	4	7
141	себя и	6	7
142	природе своей	2	7
143	героя и	7	7
144	и для	12	7
145	у него	8	7
146	и является	2	7
147	и т.д	2	7
148	личности и	2	7
149	в одном	10	7
150	однако не	2	7
151	внимание на	2	7
152	как мы	19	7
153	времени в	14	7
154	в таком	4	7
155	жизни но	7	7
156	в нашем	3	7
157	его в	8	6
158	для всех	3	6
159	что не	3	6
160	должен быть	2	6
161	не знает	4	6
162	те же	5	6
163	в нем	28	6
164	самим собой	2	6
165	что на	3	6
166	тем более	4	6
167	или в	3	6
168	он был	2	6
169	и то	5	6
170	хотя бы	2	6
171	то в	2	6
172	из этих	5	6
173	с самим	6	6
174	же в	6	6
175	во всем	3	6
176	одного и	6	6
177	вследствие этого	4	6
178	и более	3	6
179	есть в	3	6
180	на этом	2	6
181	из них	8	6
182	уже в	5	6
183	соответствии с	2	6
184	вовсе не	20	6
185	не о	2	5
186	в широком	3	5
187	и потому	4	5
188	не могут	4	5
189	не как	2	5
190	встречи с	2	5
191	входит в	3	5
192	одну из	2	5
193	жизни в	11	5
194	каждый из	2	5
195	для себя	8	5
196	совершенно не	3	5
197	так что	4	5
198	самом деле	2	5
199	в романе	40	5
200	в один	2	5
201	в аспекте	2	5
202	во втором	2	5
203	картина мира	2	5
204	в них	11	5
205	а затем	3	5
206	и по	5	5
207	и до	7	5
208	все эти	12	5
209	мы не	4	5
210	того и	3	5
211	принадлежит к	4	5
212	тот же	4	5
213	и здесь	2	5
214	да и	4	5
215	с их	2	5
216	одно из	3	5
217	к этому	5	5
218	с другими	3	5
219	и он	3	5
220	с ее	7	5
221	мира в	6	5
222	в особенности	15	5
223	для того	12	5
224	и их	11	5
225	в этих	6	5
226	тем что	4	5
227	еще и	3	5
228	самим собою	5	5
229	ни с	3	5
230	за пределами	2	5
231	ни в	9	5
232	в котором	8	5
233	романа в	7	5
234	все что	2	5
235	что мы	2	5
236	к жизни	2	5
237	этом ряду	2	5
238	все они	4	4
239	в отношении	5	4
240	его к	2	4
241	в полном	2	4
242	и ее	4	4
243	в каждом	2	4
244	наконец в	2	4
245	отношение к	5	4
246	а как	3	4
247	как он	4	4
248	как у	2	4
249	только на	3	4
250	была бы	2	4
251	его от	3	4
252	его и	2	4
253	более того	4	4
254	потому что	11	4
255	в борьбе	2	4
256	ему в	3	4
257	разного рода	2	4
258	так в	2	4
