N	2gram	Vygotskiy_	VrazhdaK
1	не только	29	9
2	и что	11	8
3	в этом	32	8
4	и в	37	8
5	что в	25	7
6	но и	23	7
7	и все	7	7
8	то что	32	7
9	но в	9	6
10	как и	20	6
11	в котором	6	6
12	в начале	2	6
13	в нем	2	6
14	и с	10	6
15	все же	6	6
16	и даже	5	6
17	и не	15	5
18	об этом	6	5
19	то же	12	5
20	в то	7	5
21	же время	2	5
22	у него	2	5
23	между тем	10	5
24	для нас	4	4
25	уже в	8	4
26	целый ряд	6	4
27	несмотря на	6	4
28	в своих	6	4
29	это не	5	4
30	в виду	5	4
31	все это	9	4
32	при этом	6	4
33	о том	14	4
34	в ней	2	4
35	как бы	16	4
36	так же	18	4
37	что он	16	4
38	в истории	7	4
39	с ним	3	4
40	может быть	19	4
41	в том	47	3
42	в чем	5	3
43	что у	3	3
44	в своем	10	3
45	том что	42	3
46	в его	16	3
47	в связи	3	3
48	раз в	3	3
49	и его	10	3
50	и как	7	3
51	он не	11	3
52	речь идет	4	3
53	связи с	7	3
54	к этому	7	3
55	на то	11	3
56	я не	4	3
57	наряду с	3	3
58	в конце	2	3
59	по нашему	2	3
60	с его	7	3
61	тем что	7	3
62	никогда не	8	2
63	и то	3	2
64	в них	5	2
65	уже не	2	2
66	к ним	2	2
67	и т.п	5	2
68	начиная с	2	2
69	для него	5	2
70	при помощи	2	2
71	и это	3	2
72	на первый	3	2
73	с точки	34	2
74	мы знаем	3	2
75	а в	4	2
76	человека с	3	2
77	он сам	3	2
78	в этой	13	2
79	столь же	8	2
80	том же	4	2
81	его с	2	2
82	в своей	7	2
83	как раз	8	2
84	в себе	8	2
85	точки зрения	49	2
86	о чем	2	2
87	же как	8	2
88	тем более	7	2
89	таким образом	39	2
90	и ее	9	2
91	отношения к	3	2
92	на место	2	2
93	в свою	4	2
94	по мнению	2	2
95	их в	6	2
96	о которой	2	2
97	в эту	4	2
98	не может	16	2
99	очень хорошо	2	2
100	из них	4	2
101	ответ на	4	2
102	его на	3	2
103	об этой	3	2
104	к себе	2	2
105	отнюдь не	2	2
106	а с	8	2
107	на основе	7	2
108	вместе с	14	2
109	в известном	4	2
