N	3gram	Vinokur_St	Tvorches
1	в то же	5	25
2	то же время	5	24
3	и т д	25	17
4	в том что	29	11
5	о том что	19	8
6	но в то	2	6
7	не может быть	5	6
8	и т п	11	5
9	по отношению к	3	5
10	в том же	3	5
11	в самом деле	7	5
12	по крайней мере	2	4
13	это прежде всего	2	4
14	в одной из	3	4
15	с точки зрения	10	4
16	с самого начала	3	4
17	до сих пор	12	4
18	дело в том	7	4
19	чуть ли не	2	3
20	точно так же	2	3
21	как и в	2	3
22	том что в	4	3
23	дело не в	2	3
24	с другой стороны	8	3
25	сами по себе	2	3
26	во всяком случае	8	3
27	что он не	5	2
28	на самом деле	7	2
29	тем не менее	4	2
30	на этот вопрос	2	2
31	не только в	4	2
32	для того чтобы	13	2
33	в этой области	5	2
34	не значит что	3	2
35	так и в	5	2
36	в борисе годунове	19	2
37	в первую очередь	2	2
38	том числе и	2	2
39	вместе с тем	2	2
40	заключается в том	4	2
41	это не значит	3	2
42	в конце концов	2	2
43	так же как	5	2
44	как бы ни	2	2
45	в данном случае	7	2
46	в том числе	3	2
47	в одном из	4	2
48	и в самом	3	2
49	к тому же	2	2
