N	3gram	Bakhtin_sl	Myslijsy
1	в том что	4	47
2	по отношению к	2	26
3	не может быть	11	19
4	тем не менее	2	18
5	и т д	7	15
6	в свою очередь	3	14
7	то же время	15	13
8	в то же	15	13
9	а между тем	2	13
10	во всяком случае	7	12
11	с другой стороны	5	12
12	более или менее	5	12
13	до сих пор	4	12
14	и в этом	2	12
15	и т п	49	11
16	в то время	2	10
17	с одной стороны	7	10
18	о том что	2	9
19	но и в	2	9
20	не могут быть	3	9
21	то есть не	2	8
22	так и в	5	8
23	в этом случае	4	8
24	как бы ни	2	8
25	и то же	2	7
26	как и в	2	7
27	одно и то	2	7
28	не только не	2	7
29	не только в	3	7
30	с точки зрения	11	7
31	и в том	2	7
32	сама по себе	2	7
33	может быть только	3	6
34	таким образом в	4	5
35	тем и другим	2	5
36	к тому что	2	5
37	в том и	2	4
38	в данном случае	3	4
39	лишь тогда когда	2	4
40	мы не знаем	2	4
41	в этом отношении	2	4
42	то время как	2	4
43	в собственном смысле	2	4
44	рано или поздно	2	3
45	в первом случае	2	3
46	на каждом шагу	2	3
47	для нас в	2	3
48	языка то есть	3	3
49	можно было бы	2	3
50	одной стороны и	2	3
51	в большинстве случаев	11	3
52	хотя бы и	5	3
53	в связи с	2	3
54	это не значит	2	3
55	до известной степени	3	3
56	по всей вероятности	3	3
57	а не как	2	2
58	то же слово	2	2
59	и там где	5	2
60	же время и	2	2
61	и во всех	2	2
62	к языку и	2	2
63	как мы видели	2	2
64	а следовательно и	2	2
65	в поэтическом произведении	3	2
66	то есть от	2	2
67	и не может	2	2
68	не только о	2	2
