N	3gram	Tiupa_Anal	Vladivir
1	в том что	13	29
2	о том что	8	22
3	тем не менее	3	18
4	в связи с	2	12
5	более или менее	2	11
6	содержит в себе	3	11
7	к тому же	6	11
8	в то же	9	10
9	с точки зрения	6	10
10	не может быть	17	10
11	как раз и	2	9
12	то же время	7	9
13	в этом смысле	3	9
14	на то что	2	8
15	в свое время	3	7
16	том что он	2	6
17	в данном случае	3	6
18	в отличие от	8	6
19	с другой стороны	2	6
20	и в этом	4	6
21	бы то ни	3	5
22	не только в	3	5
23	по крайней мере	4	4
24	не что иное	5	4
25	в этом отношении	5	4
26	с одной стороны	6	4
27	для того чтобы	3	4
28	что иное как	6	4
29	в том чтобы	7	4
30	на себя внимание	3	3
31	в том числе	3	3
32	в самом деле	3	3
33	так и не	5	3
34	не только не	2	3
35	к тому что	2	3
36	не в том	3	3
37	а не только	2	2
38	и то же	2	2
39	и не в	4	2
40	и тот же	2	2
41	но в то	2	2
42	в ответ на	2	2
43	в том и	2	2
44	все того же	2	2
45	одно и то	2	2
46	в таком случае	5	2
47	и все же	2	2
48	есть не что	4	2
49	в этом случае	4	2
50	то ни было	3	2
51	обращает на себя	3	2
52	о свободе воли	2	2
