N	2gram	Trubetskoy	VeschiIm
1	и не	8	57
2	не только	10	48
3	то что	7	48
4	не может	4	46
5	и в	26	45
6	может быть	10	39
7	а не	5	37
8	потому что	7	25
9	в себе	6	23
10	только в	4	23
11	сказать что	2	22
12	и что	4	22
13	в смысле	4	22
14	как бы	12	20
15	что это	3	19
16	но и	9	19
17	все же	6	18
18	в этом	15	18
19	и это	2	17
20	прежде всего	2	17
21	так как	9	17
22	что мы	2	17
23	того что	3	16
24	таким образом	22	16
25	в том	11	15
26	уже не	3	15
27	не в	2	14
28	том что	7	13
29	и больше	2	13
30	и для	5	13
31	в самом	4	13
32	то ни	2	13
33	но если	2	12
34	что в	9	12
35	точки зрения	13	12
36	что и	6	12
37	и как	3	12
38	то же	4	12
39	ни было	2	12
40	еще не	2	12
41	и даже	3	12
42	о том	6	12
43	и с	10	12
44	бы то	2	12
45	в то	4	11
46	не менее	3	11
47	тем не	3	11
48	и только	4	11
49	крайней мере	5	10
50	что оно	4	10
51	по крайней	5	10
52	ясно что	3	10
53	так что	3	9
54	в своем	3	9
55	ли это	2	9
56	хотя бы	3	9
57	в результате	3	9
58	на то	2	9
59	но не	8	9
60	в отношении	6	8
61	и потому	6	8
62	что он	4	8
63	но в	7	8
64	все это	6	8
65	можно сказать	3	8
66	по сравнению	2	8
67	с другими	4	8
68	мы имеем	2	8
69	отличается от	2	8
70	если бы	3	8
71	с тем	18	8
72	для него	3	8
73	не с	2	8
74	с другой	8	8
75	не потому	2	7
76	с именем	2	7
77	из них	7	7
78	а в	4	7
79	все эти	6	7
80	относится к	2	7
81	можно только	2	7
82	с этой	3	7
83	и тогда	4	7
84	сравнению с	2	7
85	никогда не	5	6
86	и все	2	6
87	так или	3	6
88	в нем	4	6
89	в разных	2	6
90	или иначе	3	6
91	из себя	2	6
92	несмотря на	6	6
93	жизни и	2	6
94	с точки	6	6
95	в одном	3	6
96	и если	3	5
97	мы должны	6	5
98	ничем не	4	5
99	вместе с	15	5
100	того же	6	5
101	тогда когда	2	5
102	один из	2	5
103	в его	5	5
104	быть и	2	5
105	для этого	2	5
106	во всех	2	5
107	в которой	3	5
108	и здесь	2	5
109	как о	3	5
110	ее с	2	5
111	все что	2	5
112	в свою	2	5
113	только не	2	5
114	то или	2	5
115	так же	5	4
116	в силу	5	4
117	в конце	6	4
118	отношение к	5	4
119	и у	8	4
120	что именно	2	4
121	так и	6	4
122	что все	4	4
123	в этой	4	4
124	более или	5	4
125	этой точки	2	4
126	так чтобы	2	4
127	того чтобы	5	4
128	в качестве	3	4
129	не было	2	4
130	тот же	2	4
131	во всяком	6	4
132	и от	4	4
133	мы можем	2	4
134	по своей	2	4
135	и о	3	4
136	в котором	4	4
137	главным образом	8	4
138	или менее	5	4
139	же время	2	4
140	он не	4	4
141	в виде	4	3
142	а с	7	3
143	по существу	2	3
144	мы видели	2	3
145	к нему	7	3
146	к тому	6	3
147	одной стороны	7	3
148	если не	2	3
149	же как	3	3
150	то с	3	3
151	той или	2	3
152	и нет	3	3
153	только что	2	3
154	превращается в	2	3
155	для того	5	3
156	с одной	7	3
157	случае не	3	3
158	но все	7	3
159	не имеет	5	3
160	в самой	2	3
161	есть как	2	3
162	из которых	4	3
163	свидетельствует о	2	3
164	но когда	2	3
165	из этого	2	3
166	у всех	2	3
167	перестает быть	2	3
168	не к	2	3
169	а так	3	3
170	религиозного сознания	6	2
171	и заставляет	2	2
172	когда же	2	2
173	не как	2	2
174	ярко в	2	2
175	то есть	4	2
176	и таким	3	2
177	в одно	2	2
178	конце концов	3	2
179	в виду	2	2
180	на все	2	2
181	положение дела	2	2
182	у них	3	2
183	может ли	2	2
184	его от	2	2
185	одно из	2	2
186	что о	2	2
187	или по	2	2
188	с другом	5	2
189	уже в	2	2
190	всяком случае	6	2
191	отличаются от	2	2
192	связи с	9	2
193	в связи	3	2
194	что эти	3	2
195	признать что	2	2
196	то ясно	2	2
197	к его	2	2
198	раз она	2	2
199	а также	2	2
200	в россии	2	2
201	утверждать что	2	2
202	в начале	2	2
203	к этому	3	2
204	с ней	3	2
205	о котором	2	2
206	друг с	5	2
207	этом отношении	2	2
208	и другие	3	2
209	нужно чтобы	2	2
210	силы и	2	2
211	истории религии	2	2
212	на нее	3	2
213	связан с	2	2
214	далеко не	4	2
215	все существующее	2	2
216	именно в	2	2
217	не вполне	3	2
218	и другой	2	2
219	когда он	3	2
220	и к	5	2
221	приводит к	2	2
222	и на	2	2
223	конечно не	2	2
224	но с	3	2
225	учение о	4	2
226	с его	2	2
