N	2gram	Voloshinov	OGranits
1	и в	42	13
2	и его	7	12
3	прежде всего	22	9
4	и не	14	8
5	не может	13	8
6	может быть	13	8
7	в его	6	7
8	и пр	4	7
9	и их	5	7
10	точки зрения	11	7
11	и т.п	25	7
12	не только	28	6
13	социального общения	14	6
14	мы должны	10	6
15	как бы	30	6
16	таким образом	8	6
17	только в	7	6
18	то что	9	6
19	языка и	4	5
20	в материале	2	5
21	и т.д	21	5
22	все же	9	5
23	словесного материала	3	5
24	с точки	5	5
25	и эта	3	5
26	но ведь	6	5
27	и наконец	5	5
28	хотя бы	18	5
29	в процессе	6	5
30	мы можем	7	4
31	еще и	2	4
32	но в	5	4
33	лишь в	4	4
34	то же	16	4
35	в сознании	5	4
36	но мы	2	4
37	не является	5	4
38	в своей	2	4
39	все это	4	4
40	социальной группы	4	4
41	было бы	7	4
42	вопроса о	4	4
43	мы не	9	4
44	в каждом	4	4
45	слов и	7	4
46	никогда не	7	3
47	да и	4	3
48	одно и	6	3
49	и для	3	3
50	слово в	2	3
51	и то	5	3
52	и все	4	3
53	в ее	3	3
54	вряд ли	3	3
55	членораздельной речи	2	3
56	с этим	2	3
57	отношению к	2	3
58	и уже	3	3
59	как и	12	3
60	в пределах	2	3
61	не в	6	3
62	в их	2	3
63	ни один	2	3
64	так как	8	3
65	в себе	10	3
66	по отношению	2	3
67	точку зрения	6	3
68	но для	3	3
69	самом деле	5	3
70	так и	7	3
71	что же	8	3
72	в которой	7	3
73	т.п и	3	3
74	в одном	4	3
75	здесь мы	3	3
76	но и	16	3
77	в самом	5	2
78	мы видим	4	2
79	в этом	10	2
80	уже в	5	2
81	в том	3	2
82	тем что	2	2
83	в отношении	2	2
84	есть не	2	2
85	несмотря на	3	2
86	в целом	4	2
87	если бы	4	2
88	речи не	2	2
89	о языке	2	2
90	или иного	5	2
91	зависимости от	7	2
92	роль в	3	2
93	конечно мы	2	2
94	слова и	5	2
95	человеческой речи	3	2
96	а в	5	2
97	которое может	3	2
98	и тем	7	2
99	том что	3	2
100	того или	5	2
101	же слово	2	2
102	жизненного высказывания	4	2
103	и к	4	2
104	в языке	2	2
105	в связи	2	2
106	в зависимости	7	2
107	и следовательно	5	2
108	все эти	3	2
109	в области	6	2
110	связанные с	2	2
111	так же	4	2
112	мы уже	11	2
113	те же	5	2
114	нуждается в	3	2
115	и при	2	2
116	в своих	2	2
117	в нем	6	2
118	жизненной речи	2	2
119	выбор и	2	2
120	в тех	3	2
121	при этом	9	2
122	нет ничего	2	2
123	интонацию и	4	2
124	что иное	2	2
125	а не	7	2
126	не сумеем	2	2
127	в ней	8	2
128	общения и	4	2
129	как в	3	2
130	который мы	2	2
131	и является	5	2
132	бы в	6	2
133	между тем	3	2
134	и этот	2	2
135	связанных с	5	2
136	тот же	2	2
137	иное как	2	2
138	не что	4	2
139	самого начала	4	2
140	вовсе не	2	2
141	лишь путем	2	2
142	литературное произведение	2	2
143	с самого	4	2
144	подойти к	2	2
145	к тому	4	2
146	и внутренняя	3	2
147	не мог	3	2
148	с помощью	6	2
149	для него	3	2
150	может стать	3	2
