N	3gram	Ircho_Kome	RusskieA
1	в том что	13	49
2	и т д	4	21
3	тем не менее	2	14
4	вместе с тем	4	11
5	о том что	6	10
6	для того чтобы	3	8
7	т е в	2	7
8	в это время	3	6
9	после того как	3	6
10	в связи с	3	5
11	к тому что	3	5
12	во всяком случае	4	4
13	в то время	8	4
14	можно было бы	3	4
15	на себя внимание	4	4
16	в отличие от	3	4
17	по отношению к	5	3
18	до сих пор	3	3
19	обращает на себя	4	3
20	на то что	2	3
21	по своему происхождению	2	3
22	к этому времени	3	2
23	в этом отношении	3	2
24	в большинстве случаев	2	2
25	как и в	2	2
26	для этой цели	2	2
27	с одной стороны	5	2
28	и т п	7	2
29	с другой стороны	6	2
30	одна из них	2	2
31	можно судить по	2	2
