N	2gram	Tiupa_Narr	Analitik
1	не только	32	71
2	тогда как	12	67
3	и в	19	66
4	в качестве	21	61
5	но и	23	57
6	в том	18	52
7	может быть	25	52
8	в частности	14	51
9	в этом	17	51
10	как и	7	50
11	и не	20	48
12	в тексте	16	42
13	а не	12	42
14	том что	14	40
15	при этом	9	40
16	так и	9	35
17	то есть	19	35
18	в мире	9	31
19	своего рода	12	30
20	состоит в	13	30
21	коммуникативного события	12	30
22	представляет собой	13	30
23	не может	10	29
24	как бы	4	29
25	отнюдь не	5	29
26	а в	11	28
27	в его	9	27
28	и его	5	27
29	не в	14	26
30	но не	6	26
31	текста в	2	26
32	всего лишь	2	24
33	в себе	8	24
34	не случайно	2	24
35	иначе говоря	6	23
36	к тому	7	22
37	и даже	3	22
38	в этой	5	22
39	что в	3	22
40	и т.п	8	20
41	о том	6	20
42	по отношению	7	19
43	но в	6	19
44	то же	4	19
45	с его	6	19
46	в то	3	18
47	в данном	5	18
48	отношению к	6	18
49	тем самым	6	17
50	или иной	5	17
51	с другой	8	17
52	со стороны	9	17
53	такого рода	7	17
54	только в	4	17
55	могут быть	3	16
56	то что	11	16
57	в пределах	2	16
58	не есть	3	15
59	художественного текста	2	15
60	прежде всего	4	15
61	в сущности	3	15
62	в рамках	12	15
63	уже не	5	15
64	и на	3	15
65	между тем	3	15
66	данном случае	4	14
67	в принципе	4	14
68	отличие от	5	14
69	не менее	3	14
70	той или	4	14
71	мы имеем	2	14
72	себя в	5	14
73	в отличие	5	14
74	далеко не	5	14
75	столь же	3	14
76	же время	4	14
77	в себя	6	14
78	по себе	5	13
79	ничего не	2	13
80	точки зрения	10	13
81	как раз	2	13
82	этого слова	2	13
83	для него	2	13
84	а также	7	13
85	как правило	4	13
86	внутреннего зрения	4	13
87	в случае	7	13
88	он не	3	13
89	тому же	5	13
90	никогда не	3	12
91	как это	6	12
92	еще не	7	12
93	в эпизоде	3	12
94	как в	7	12
95	в конечном	3	12
96	сводится к	3	12
97	даже в	2	11
98	в свою	3	11
99	это не	2	11
100	во второй	2	11
101	нуждается в	5	11
102	по своей	3	11
103	конечном счете	2	11
104	и как	5	11
105	не с	3	11
106	можно сказать	5	11
107	в той	6	11
108	имеем дело	2	11
109	все же	7	10
110	в произведении	3	10
111	на себя	3	10
112	однако в	2	10
113	один из	3	10
114	было бы	4	10
115	и самого	3	10
116	того или	2	10
117	особенно в	3	10
118	и одновременно	2	10
119	подобно тому	2	10
120	с одной	7	10
121	именно в	6	10
122	здесь не	4	10
123	отношения к	2	10
124	в своем	2	9
125	значении этого	3	9
126	того что	2	9
127	не столько	4	9
128	одной стороны	7	9
129	свою очередь	3	9
130	имеет место	4	9
131	или иного	2	9
132	другой стороны	4	9
133	в результате	2	9
134	что касается	2	9
135	личности в	2	9
136	тому как	2	9
137	присутствия в	3	9
138	и того	2	9
139	говорит о	2	9
140	говорить о	2	9
141	организации текста	2	9
142	перед нами	4	8
143	о чем	2	8
144	роль в	2	8
145	не всегда	2	8
146	что он	6	8
147	дело с	2	8
148	одной из	4	8
149	и все	2	8
150	коммуникативное событие	3	8
151	одного из	4	8
152	этом отношении	3	8
153	хотя и	3	8
154	в основе	5	8
155	между двумя	5	8
156	не является	8	8
157	времени и	7	8
158	как известно	2	8
159	с точки	2	8
160	во времени	8	7
161	вплоть до	2	7
162	в литературе	2	7
163	иное как	2	7
164	картины мира	5	7
165	как говорит	3	7
166	и тем	4	7
167	являет собой	2	7
168	жизненной позиции	4	7
169	в ее	3	7
170	который в	2	7
171	одна из	3	7
172	в противоположность	2	7
173	себя и	2	7
174	несмотря на	2	7
175	как будто	3	7
176	субъекта и	2	7
177	героя и	4	7
178	что иное	2	7
179	и для	2	7
180	у него	4	7
181	или иначе	3	7
182	и т.д	7	7
183	приводит к	2	7
184	таком случае	2	7
185	как мы	3	7
186	времени в	2	7
187	в таком	2	7
188	жизни но	2	7
189	не мог	4	7
190	креативная компетенция	6	6
191	его в	2	6
192	если в	3	6
193	что не	4	6
194	не что	2	6
195	в силу	4	6
196	как справедливо	2	6
197	те же	4	6
198	в нем	4	6
199	что на	2	6
200	не будет	3	6
201	очевидным образом	2	6
202	тем более	2	6
203	или в	2	6
204	при всей	4	6
