N	2gram	Bakhtin_Pr	VerxiiNi
1	и в	64	26
2	таким образом	15	22
3	в этом	33	15
4	точки зрения	31	13
5	как бы	33	12
6	в том	12	11
7	не только	26	10
8	из этих	3	10
9	и с	9	10
10	может быть	43	10
11	что в	11	9
12	так как	9	9
13	связи с	3	9
14	но и	26	9
15	но не	12	8
16	с другой	7	8
17	и у	3	8
18	и не	55	8
19	как на	4	8
20	но все	6	7
21	к нему	11	7
22	потому что	8	7
23	из них	3	7
24	то что	21	7
25	но в	14	7
26	том что	8	7
27	а с	2	7
28	в отношении	5	6
29	все же	11	6
30	к тому	4	6
31	о том	5	6
32	мы должны	3	6
33	того же	3	6
34	в себе	11	6
35	в конце	8	6
36	несмотря на	7	6
37	всяком случае	4	6
38	что и	7	6
39	с точки	21	6
40	все эти	13	6
41	все это	9	6
42	и потому	7	6
43	так и	8	6
44	во всяком	7	6
45	никогда не	11	5
46	в мире	7	5
47	и для	7	5
48	не имеет	2	5
49	более или	4	5
50	так же	8	5
51	и к	5	5
52	друг с	4	5
53	отношение к	4	5
54	того чтобы	2	5
55	лишь в	4	5
56	в его	30	5
57	крайней мере	2	5
58	с другом	3	5
59	а не	29	5
60	тому же	2	5
61	по крайней	2	5
62	сих пор	9	5
63	до сих	9	5
64	или менее	4	5
65	на этот	4	4
66	и от	3	4
67	что все	2	4
68	далеко не	7	4
69	а в	10	4
70	с другими	8	4
71	в котором	7	4
72	в самом	17	4
73	в нем	28	4
74	не может	26	4
75	в смысле	3	4
76	в которых	4	4
77	что оно	2	4
78	то есть	3	4
79	из которых	3	4
80	целый ряд	2	4
81	то же	18	4
82	и что	5	4
83	в этих	5	4
84	только в	13	4
85	что он	15	4
86	и только	3	4
87	он не	14	4
88	в этой	5	4
89	в то	15	4
90	что это	2	3
91	в рамках	2	3
92	в своем	12	3
93	друг за	2	3
94	но с	4	3
95	каждая из	2	3
96	и если	2	3
97	уже не	15	3
98	хотя бы	4	3
99	и нет	6	3
100	в результате	7	3
101	в которой	2	3
102	русский народ	2	3
103	тем не	2	3
104	и даже	5	3
105	и как	9	3
106	если бы	12	3
107	же как	2	3
108	в других	2	3
109	при этом	8	3
110	конце концов	7	3
111	не менее	3	3
112	на западе	2	3
113	когда он	2	3
114	и при	2	3
115	с этой	2	3
116	в таком	3	3
117	так что	6	3
118	и о	7	3
119	можно сказать	2	3
120	отношению к	12	3
121	к сожалению	2	3
122	в одном	20	3
123	того что	3	3
124	для него	23	3
125	не исчерпывается	2	2
126	одно из	2	2
127	сказать что	4	2
128	от них	3	2
129	для этого	3	2
130	этой точки	2	2
131	с идеей	4	2
132	и является	2	2
133	и это	8	2
134	не могут	10	2
135	но при	4	2
136	в россии	2	2
137	на то	5	2
138	в самой	9	2
139	он в	3	2
140	ни один	3	2
141	в процессе	6	2
142	положение в	2	2
143	между тем	7	2
144	не потому	2	2
145	одним из	7	2
146	особенно в	2	2
147	его можно	2	2
148	благодаря этому	3	2
149	сознании и	4	2
150	не как	20	2
151	именно в	5	2
152	конечно не	4	2
153	отличается от	5	2
154	приводит к	8	2
155	в образе	2	2
156	те же	3	2
157	среди них	5	2
158	в них	5	2
159	только не	2	2
160	и особенно	2	2
161	и на	16	2
162	и здесь	6	2
163	уже в	5	2
164	еще не	10	2
165	к которому	2	2
166	все что	4	2
167	так чтобы	7	2
168	наконец в	4	2
169	жизни и	3	2
170	не было	5	2
171	по своим	4	2
172	превращается в	5	2
173	самого начала	2	2
174	этом отношении	3	2
175	на пути	2	2
176	не в	15	2
177	не всегда	2	2
178	и наконец	7	2
179	то ни	3	2
180	самой этой	2	2
181	ни было	4	2
182	перестает быть	4	2
183	в одно	4	2
184	ее с	2	2
185	и все	6	2
186	на друга	2	2
187	же время	13	2
188	героев и	4	2
189	один из	3	2
190	в виду	3	2
191	со всеми	2	2
192	и перед	2	2
193	друг на	2	2
194	совершенно иной	2	2
195	должна была	4	2
196	прежде всего	16	2
197	бы то	3	2
198	тот же	2	2
199	не могло	2	2
200	с его	11	2
201	во всех	4	2
202	и сами	3	2
203	в другое	2	2
204	оно является	2	2
205	быть и	2	2
206	по существу	6	2
