N	2gram	Medvedev_U	Morfolog
1	может быть	6	61
2	таким образом	2	26
3	могут быть	2	21
4	не может	7	19
5	в этом	7	18
6	и в	14	17
7	и не	8	16
8	прежде всего	8	14
9	по существу	2	13
10	а не	10	11
11	то же	5	10
12	в том	2	10
13	то что	7	10
14	что и	2	10
15	все же	3	9
16	но и	4	9
17	с другой	4	9
18	не только	10	8
19	но не	2	8
20	мы не	2	8
21	не могут	2	7
22	том что	2	7
23	это не	3	6
24	но это	2	6
25	не все	2	6
26	ничего не	2	5
27	хотя бы	5	5
28	было бы	3	5
29	что он	2	5
30	между тем	2	5
31	другой стороны	3	5
32	в то	3	4
33	тем что	2	4
34	самом деле	2	4
35	но в	3	4
36	и для	2	4
37	как и	3	4
38	в некоторых	2	4
39	то ни	3	3
40	вопроса о	2	3
41	это было	2	3
42	и у	2	3
43	если бы	2	3
44	на первый	2	3
45	не в	2	3
46	у нас	3	3
47	это уже	2	3
48	что такое	4	3
49	только в	2	3
50	и только	5	3
51	в этой	4	3
52	бы то	3	3
53	с его	2	3
54	в россии	4	2
55	как такового	3	2
56	является в	2	2
57	что она	2	2
58	превращается в	2	2
59	этом отношении	2	2
60	в частности	3	2
61	ни было	3	2
62	одним из	2	2
63	его и	2	2
64	должна быть	2	2
65	в итоге	2	2
66	мы получаем	2	2
67	могли бы	2	2
68	как таковой	2	2
69	что мы	2	2
70	вряд ли	3	2
71	все это	5	2
72	для него	3	2
