N	3gram	Vygotskiy_	Stilisti
1	для того чтобы	20	7
2	в зависимости от	2	7
3	с точки зрения	12	5
4	и т.д и	2	5
5	с самого начала	8	4
6	то же самое	7	4
7	одной и той	3	4
8	и той же	3	4
9	в свою очередь	4	4
10	в этом случае	5	3
11	в конце концов	2	3
12	как мы уже	2	3
13	на самом деле	3	3
14	в той же	3	3
15	и тем самым	3	3
16	но все же	2	3
17	как мы видели	4	3
18	тех или иных	2	3
19	может быть понято	2	2
20	вместе с тем	4	2
21	но при этом	2	2
22	в связи с	6	2
23	что иное как	2	2
24	и в области	2	2
25	в самом деле	6	2
26	в этом отношении	7	2
27	к тому что	5	2
28	можно сказать что	7	2
29	есть не что	2	2
30	по отношению к	19	2
31	мы видели что	2	2
32	смысле этого слова	2	2
33	о том что	7	2
34	мы видим что	2	2
35	не что иное	2	2
36	не может быть	4	2
