N	3gram	Bakhtin_fo	VeschiIm
1	и т д	3	38
2	это значит что	2	25
3	не может быть	4	24
4	в том что	4	9
5	по сравнению с	3	7
6	и не только	2	6
7	с точки зрения	9	6
8	может быть только	3	6
9	одно и то	4	5
10	и то же	4	5
11	в то же	10	5
12	не только в	6	5
13	то время как	2	4
14	о том как	2	4
15	о том что	2	4
16	в то время	3	4
17	дело в том	2	4
18	то же время	13	4
19	равно как и	4	4
20	вместе с тем	3	3
21	с одной стороны	3	3
22	сами по себе	2	3
23	и в то	7	3
24	все то что	2	2
25	как раз и	2	2
26	в нем нет	2	2
27	но все же	3	2
28	для того чтобы	11	2
29	в этом отношении	5	2
30	с самим собою	4	2
31	в связи с	12	2
32	так же как	2	2
33	друг с другом	5	2
34	ни с чем	2	2
35	в данном случае	2	2
36	как раз в	4	2
37	а следовательно и	3	2
38	и в этом	2	2
39	и в частности	2	2
40	по природе своей	2	2
41	в той или	2	2
