N	3gram	Tiupa_Narr	Freidism
1	с точки зрения	2	15
2	не может быть	6	14
3	по отношению к	5	11
4	в самом деле	3	10
5	в том что	11	9
6	во всяком случае	2	8
7	в то же	7	6
8	то же время	7	6
9	можно сказать что	5	5
10	тем не менее	6	4
11	в этом отношении	5	4
12	в данном случае	12	4
13	в зависимости от	3	4
14	в свою очередь	2	4
15	о том что	3	3
16	для того чтобы	4	3
17	в конечном счете	4	3
18	и не может	3	3
19	до сих пор	3	3
20	то же самое	3	2
21	чем иным как	2	2
22	а с другой	2	2
23	к тому что	4	2
24	в отличие от	6	2
25	с одной стороны	5	2
