N	3gram	Vygotskiy_	KulturaY
1	для того чтобы	20	38
2	с точки зрения	12	36
3	в том что	33	33
4	в самом деле	6	29
5	можно было бы	8	25
6	во всяком случае	2	19
7	то обстоятельство что	5	19
8	с другой стороны	8	17
9	в зависимости от	2	16
10	до сих пор	3	14
11	в том чтобы	3	14
12	по отношению к	19	13
13	в связи с	6	12
14	в этом отношении	7	11
15	не может быть	4	11
16	о том что	7	10
17	в этом смысле	5	10
18	вместе с тем	4	9
19	на самом деле	3	8
20	в этом случае	5	8
21	само по себе	2	8
22	а с другой	3	7
23	только в том	2	7
24	в той мере	3	7
25	той мере в	3	7
26	мере в какой	3	7
27	с одной стороны	10	7
28	в свою очередь	4	7
29	в первую очередь	4	6
30	только тогда когда	2	6
31	этой точки зрения	7	6
32	в свое время	2	6
33	в отличие от	3	6
34	на этот вопрос	5	5
35	но все же	2	5
36	потому что он	7	5
37	в данном случае	3	5
38	с этой точки	7	5
39	хотя бы в	2	5
40	как мы видели	4	5
41	в первом случае	2	4
42	одного и того	8	4
43	том что он	3	4
44	письменной речи в	4	4
45	в этой области	3	4
46	бы сказать что	3	4
47	и в области	2	4
48	заключается в том	12	4
49	так же как	9	4
50	к тому что	5	4
51	на то что	5	4
52	состоит в том	7	4
53	мы говорим о	2	4
54	только то что	2	4
55	смысле этого слова	2	4
56	и того же	8	4
57	с помощью которого	3	3
58	от того что	6	3
59	в настоящее время	2	3
60	в лучшем случае	3	3
61	в письменной речи	5	3
62	не могут быть	3	3
63	в то время	4	3
64	с тем что	3	3
65	о том как	3	3
66	не то что	4	3
67	в конце концов	2	3
68	в известном смысле	7	3
69	тех или иных	2	3
70	вместо того чтобы	5	3
71	в той же	3	3
72	к тому чтобы	4	3
73	принять во внимание	3	3
74	сама по себе	4	3
75	что он не	3	2
76	не что иное	2	2
77	тем или иным	2	2
78	и той же	3	2
79	но он не	5	2
80	потому что в	4	2
81	друг от друга	5	2
82	мы знаем что	2	2
83	из того что	4	2
84	таким образом в	2	2
85	в другом месте	4	2
86	ответить на вопрос	2	2
87	и тот же	5	2
88	в собственном смысле	2	2
89	мы могли бы	15	2
90	ничего общего с	3	2
91	в том числе	2	2
92	одной и той	3	2
93	несмотря на то	2	2
94	что иное как	2	2
95	когда мы говорим	2	2
96	в вопросе о	3	2
97	и в другом	3	2
98	не до конца	2	2
99	один и тот	5	2
100	можно сказать что	7	2
101	мы видели уже	2	2
102	не находится в	2	2
103	письменной речи не	2	2
104	по сравнению с	9	2
