N	3gram	Losev_Vlad	Analitik
1	в том что	13	25
2	не может быть	4	19
3	в то же	7	16
4	о том что	9	15
5	то же время	7	14
6	к тому же	3	13
7	так и не	3	10
8	с другой стороны	3	9
9	в свою очередь	2	9
10	в том чтобы	4	9
11	в этом отношении	2	8
12	не только в	3	8
13	во всяком случае	8	7
14	что иное как	2	7
15	в свое время	6	7
16	тем не менее	8	6
17	не что иное	2	6
18	так или иначе	3	6
19	в ответ на	2	4
20	том что он	4	4
21	для того чтобы	3	4
22	не в том	3	4
23	в этом смысле	4	4
24	бы то ни	2	3
25	как раз и	2	3
26	и все же	2	3
27	и тот же	2	3
28	в связи с	7	3
29	можно сказать что	3	3
30	дело в том	7	3
31	а в том	3	3
32	и то что	7	3
33	что он не	3	2
34	что же касается	8	2
35	более или менее	5	2
36	же касается самого	2	2
37	но в то	2	2
38	говоря уже о	3	2
39	один и тот	2	2
40	до тех пор	2	2
41	тем более что	2	2
42	не говоря уже	3	2
43	на то что	6	2
44	в сравнении с	2	2
