N	2gram	Losev_Prob	Istorich
1	и в	62	181
2	и т	20	160
3	т д	20	142
4	может быть	39	115
5	не только	33	114
6	что он	16	111
7	мы имеем	7	102
8	что в	11	90
9	но и	20	85
10	в этом	25	81
11	так как	14	75
12	то что	42	73
13	таким образом	13	72
14	вместе с	3	71
15	и не	56	67
16	все же	10	65
17	в этих	6	64
18	еще не	12	63
19	не может	14	61
20	так же	11	57
21	то же	23	56
22	никогда не	7	56
23	в том	35	53
24	том что	25	53
25	с другой	14	52
26	а в	9	52
27	потому что	40	52
28	что и	11	51
29	и что	9	51
30	и здесь	8	51
31	мы видели	2	49
32	о том	14	48
33	а не	28	48
34	его в	4	47
35	не в	21	47
36	другой стороны	11	46
37	мы должны	13	44
38	но в	17	44
39	это не	10	43
40	и его	12	43
41	в нем	13	42
42	только в	33	42
43	как в	10	42
44	или в	7	39
45	в его	10	38
46	для нас	23	38
47	тем что	8	38
48	и на	4	38
49	что здесь	5	37
50	так и	16	37
51	он не	10	37
52	уже не	12	37
53	как и	15	37
54	мы уже	4	37
55	мы можем	11	36
56	здесь мы	5	35
57	с тем	9	35
58	что они	8	35
59	все эти	14	35
60	мы не	15	35
61	во время	3	34
62	что это	3	34
63	но не	6	34
64	а именно	12	34
65	связи с	10	34
66	же как	5	33
67	об этом	7	33
68	сих пор	4	32
69	в качестве	10	32
70	ничего не	4	31
71	прежде всего	13	31
72	то это	13	31
73	при помощи	13	30
74	с этим	5	30
75	до сих	4	30
76	с одной	3	30
77	к нему	3	30
78	но все	5	29
79	как мы	12	29
80	одной стороны	2	29
81	этом случае	8	29
82	но это	13	29
83	что она	5	28
84	и другие	4	28
85	и с	11	28
86	как он	2	27
87	так что	21	27
88	героя в	2	27
89	того что	10	27
90	могут быть	2	27
91	мы здесь	2	26
92	в ней	12	26
93	как это	4	26
94	на него	3	26
95	вопрос о	2	25
96	и он	3	25
97	было бы	14	24
98	если бы	9	24
99	в виде	20	24
100	что мы	12	24
101	к этому	2	24
102	не менее	24	24
103	не будем	4	23
104	все это	9	23
105	когда он	2	23
106	тем не	23	23
107	в частности	4	23
108	точно так	5	23
109	в этой	10	23
110	их в	2	23
111	имеем в	4	23
112	и это	11	23
113	как бы	11	23
114	представлений о	2	23
115	при этом	9	22
116	и по	3	22
117	с ним	11	22
118	в одном	4	21
119	сказать что	24	21
120	ее в	2	21
121	в другом	4	21
122	к тому	4	21
123	здесь не	11	21
124	в связи	9	21
125	связан с	2	21
126	другими словами	9	20
127	она не	3	20
128	в мифе	6	20
129	в свете	4	20
130	в других	2	20
131	из них	4	20
132	и как	4	19
133	что у	3	19
134	с собой	6	19
135	на том	3	19
136	в тех	3	19
137	есть и	2	19
138	на то	6	19
139	в данном	14	18
140	вовсе не	62	18
141	в то	18	18
142	нас к	2	17
143	по существу	2	17
144	то и	9	17
145	и только	10	17
146	очень много	4	17
147	том как	4	17
148	в них	6	17
149	дело не	4	17
150	то мы	3	16
151	не вполне	3	16
152	всех этих	6	16
153	и она	2	16
154	и действительно	2	16
155	перед нами	8	16
156	и все	13	16
157	в котором	3	16
158	этот вопрос	3	16
159	во всех	4	16
160	данном случае	12	15
161	в целом	9	15
162	в своей	8	15
163	даже в	2	15
164	и то	17	15
165	в пределах	3	15
166	друг друга	5	15
167	и даже	21	15
168	в которых	3	15
169	как будто	11	15
170	и тем	16	15
171	он в	3	15
172	и там	2	15
173	что при	5	15
174	от него	2	14
175	у нас	17	14
176	а также	6	14
177	с этой	3	14
178	мы еще	3	14
179	в него	2	14
180	можно было	7	14
181	с ней	5	14
182	из которых	6	14
183	и есть	9	14
184	и ее	7	14
185	и наконец	2	14
186	но они	4	14
187	в нее	2	13
188	что иное	6	13
189	и для	5	13
190	в таких	3	13
191	и от	11	13
192	его не	2	13
193	на котором	2	13
194	в своем	7	13
195	время как	6	13
196	и у	2	13
197	не имеет	12	13
198	и если	11	13
199	в себе	23	13
200	с ними	2	13
201	не просто	36	13
202	по себе	36	13
203	то время	6	13
204	а потом	2	12
205	кроме того	5	12
206	во всем	2	12
207	в их	2	12
208	к этой	2	12
209	как только	3	12
210	одним из	2	12
211	между прочим	4	12
212	утверждать что	3	12
213	хотя бы	6	12
214	за ним	2	12
215	о нем	2	12
216	что не	4	12
217	на более	2	12
218	к ней	2	12
219	никто не	5	11
220	и более	6	11
221	связанные с	2	11
222	относится к	4	11
223	происходит в	3	11
224	только с	5	11
225	точки зрения	14	11
226	хотя и	9	11
227	но уже	4	11
228	уже в	5	11
229	иное как	6	11
230	имеется в	7	11
231	же в	6	11
232	ясно что	11	11
233	в очень	2	11
234	дает нам	2	11
235	не что	6	11
236	но оно	3	11
237	что же	9	10
238	в ее	6	10
239	и тот	2	10
240	почти всегда	4	10
241	но если	12	10
242	он может	2	10
243	указывает на	13	10
244	но как	6	10
245	есть только	5	10
246	если не	7	10
247	не знаем	2	10
248	ее на	2	10
249	он и	3	10
250	однако это	6	10
251	а с	2	10
252	то чего	2	10
253	то не	2	10
254	в которой	3	10
255	ни в	17	10
256	о чем	4	10
257	не было	6	10
258	себя в	4	10
259	не можем	5	10
260	и к	9	10
261	бы мы	2	9
262	а как	2	9
263	говорилось выше	2	9
264	в истории	4	9
265	в основе	3	9
266	это так	2	9
267	из этого	5	9
268	из него	2	9
269	она в	2	9
270	это и	11	9
271	когда она	2	9
272	зависимости от	3	9
273	на этот	4	9
274	более или	2	9
275	но для	3	9
276	жизни и	7	9
277	в первую	3	9
278	что на	2	9
279	не будет	3	9
280	таких случаях	2	9
281	на первый	6	9
282	является и	2	9
283	или менее	2	9
284	и хотя	3	9
285	же не	2	9
286	только на	6	9
287	в чем	5	9
288	себе в	5	9
289	стороны и	3	9
290	тем самым	9	8
291	не имеют	4	8
292	у них	2	8
293	только тогда	2	8
294	не говорится	2	8
295	здесь в	3	8
296	кажется что	2	8
297	для этого	9	8
298	только что	4	8
299	вообще не	5	8
300	именно в	4	8
301	что такое	4	8
302	входит в	3	8
303	тому как	2	8
304	во всяком	14	8
305	или даже	6	8
306	мы будем	3	8
307	образом и	2	8
308	в отдельности	2	8
309	это значит	12	8
310	подобно тому	3	8
311	же самое	20	8
312	но она	2	8
313	и потому	13	8
314	оказывается что	2	8
315	что его	3	8
316	не так	8	8
317	в зависимости	3	8
318	тут же	12	8
319	видели выше	2	8
320	в некотором	2	8
321	в целях	6	8
322	но с	2	8
323	от того	2	8
324	или по	6	8
325	и сам	6	8
326	можно сказать	10	8
327	независимо от	4	8
328	с другими	6	8
329	значит что	13	8
