N	3gram	Vygotskiy_	Literetu
1	в том что	41	21
2	по отношению к	3	12
3	с одной стороны	8	12
4	в отличие от	8	11
5	не может быть	5	11
6	состоит в том	4	11
7	о том что	3	10
8	в этом отношении	9	10
9	с точки зрения	11	8
10	с другой стороны	5	7
11	из того что	3	6
12	в том числе	3	6
13	тем не менее	6	5
14	этой точки зрения	4	5
15	с этой точки	4	5
16	в связи с	8	5
17	в том чтобы	2	5
18	и тем самым	3	4
19	и то что	3	4
20	во всяком случае	10	3
21	то же самое	9	3
22	той или иной	2	3
23	в самом деле	4	3
24	только в том	4	3
25	на то что	5	3
26	речь идет о	2	3
27	никогда не бывает	2	3
28	ничего общего с	2	3
29	том числе и	3	3
30	в свою очередь	3	3
31	одно и то	6	2
32	для того чтобы	14	2
33	и то же	6	2
34	в целом но	3	2
35	и вместе с	2	2
36	в свое время	2	2
37	все же в	2	2
38	между тем как	4	2
39	не мог бы	3	2
40	в этом случае	4	2
41	а с другой	4	2
42	в другом месте	3	2
43	можно было бы	8	2
44	вместе с тем	11	2
45	в целом и	2	2
46	в себе и	2	2
