N	2gram	Bakhtin_Pr	formyVre
1	и в	83	148
2	в этом	24	73
3	то есть	86	70
4	в романе	9	58
5	в нем	21	51
6	прежде всего	20	46
7	и не	41	37
8	в его	15	36
9	и его	13	36
10	вовсе не	12	35
11	но и	16	33
12	то же	10	32
13	не только	14	32
14	в литературе	8	32
15	но в	12	31
16	жизни и	13	31
17	так и	9	29
18	может быть	23	27
19	не в	10	26
20	как мы	12	26
21	у рабле	5	25
22	как и	13	25
23	как бы	27	25
24	человеческой жизни	3	24
25	мы уже	9	24
26	точки зрения	17	24
27	в то	8	23
28	человека в	6	23
29	времени и	4	23
30	только в	10	23
31	то что	14	22
32	в том	22	22
33	жизни в	4	21
34	все эти	9	21
35	во всех	15	21
36	же время	8	21
37	в своем	2	19
38	и др	18	19
39	и для	5	19
40	и на	27	19
41	у него	5	18
42	и все	14	18
43	по существу	7	18
44	еще не	10	18
45	таким образом	9	18
46	человека и	10	17
47	с этим	3	17
48	при этом	6	17
49	так как	12	17
50	в особенности	2	17
51	в пределах	8	17
52	все же	3	16
53	того же	5	16
54	и во	6	16
55	в связи	2	16
56	в основе	6	16
57	не может	18	16
58	в условиях	7	16
59	и их	6	16
60	никогда не	10	15
61	в разных	4	15
62	в них	4	15
63	так сказать	8	15
64	в дальнейшем	8	15
65	в одном	4	15
66	с точки	13	15
67	с его	4	15
68	вместе с	5	15
69	так же	4	14
70	его жизни	2	14
71	все это	11	14
72	всех этих	2	14
73	в конце	5	14
74	и с	10	14
75	как раз	6	14
76	а не	19	14
77	в их	7	13
78	а в	4	13
79	с другом	6	13
80	здесь в	11	13
81	друг с	6	13
82	как в	10	13
83	в котором	8	13
84	в самом	7	13
85	с ним	3	13
86	ничего не	8	12
87	в истории	4	12
88	значение и	2	12
89	не было	5	12
90	время в	2	12
91	и до	6	12
92	конечно не	11	12
93	и наконец	4	12
94	но не	9	12
95	потому что	9	12
96	он не	5	12
97	что в	5	12
98	его в	4	11
99	и у	8	11
100	между ними	14	11
101	в образе	3	11
102	в ней	8	11
103	хотя и	10	11
104	и времени	2	11
105	ни в	4	11
106	романа в	2	11
107	из них	7	11
108	уже в	3	11
109	мира и	3	11
110	смерть и	2	11
111	со смертью	3	10
112	влияние на	14	10
113	здесь не	5	10
114	в ее	3	10
115	тот же	2	10
116	кроме того	6	10
117	и другие	14	10
118	сих пор	8	10
119	также и	5	10
120	уже не	5	10
121	в большинстве	9	10
122	уже говорили	3	10
123	на основе	4	10
124	до сих	8	10
125	могут быть	5	9
126	к себе	8	9
127	и других	12	9
128	на этой	2	9
129	в других	2	9
130	жизнь и	3	9
131	наряду с	6	9
132	том что	9	9
133	должно быть	4	9
134	и даже	5	9
135	и это	3	9
136	с другой	4	9
137	на протяжении	5	9
138	есть в	7	9
139	в самой	2	9
140	их в	3	9
141	здесь нет	2	9
142	до конца	3	8
143	это не	10	8
144	или иной	2	8
145	и прежде	6	8
146	здесь на	3	8
147	и потому	6	8
148	в произведении	3	8
149	к тому	2	8
150	отношение к	14	8
151	все его	3	8
152	том числе	15	8
153	в целом	3	8
154	в роман	2	8
155	и т.п	42	8
156	большинстве случаев	9	8
157	один из	7	8
158	у апулея	2	8
159	что и	4	8
160	здесь и	7	8
161	себе самому	7	8
162	во всяком	2	8
163	здесь мы	3	8
164	и то	2	8
165	а также	4	8
166	но эти	3	8
167	в результате	2	8
168	и по	5	8
169	мы еще	4	8
170	героя и	3	8
171	в этих	8	8
172	со всеми	8	8
173	отношению к	5	8
174	в жизни	14	8
175	в мире	8	8
176	значение в	4	8
177	связанные с	3	8
178	рядом с	2	8
179	и к	13	8
180	в некоторых	7	8
181	в виду	3	8
182	в последующем	2	7
183	для всех	2	7
184	в процессе	4	7
185	в себе	10	7
186	этого романа	3	7
187	не как	5	7
188	связанных с	2	7
189	для других	2	7
190	не знает	8	7
191	широком смысле	3	7
192	в той	2	7
193	место в	3	7
194	было бы	6	7
195	себя и	3	7
196	например в	8	7
197	к этому	5	7
198	из этих	3	7
199	и он	5	7
200	в которой	2	7
201	поэтому и	4	7
202	с ее	3	7
203	ее в	4	7
204	здесь еще	3	7
205	к ним	5	7
206	еще более	6	7
207	нет ничего	3	7
208	в романах	5	7
209	в форме	6	7
210	в себя	8	7
211	в последующие	2	7
212	но он	3	7
213	в широком	2	6
214	все они	2	6
215	в отношении	3	6
216	не могут	4	6
217	еще вернемся	4	6
218	смерти и	4	6
219	и ее	8	6
220	есть и	4	6
221	литературы в	4	6
222	но эта	2	6
223	а как	4	6
224	с самим	7	6
225	здесь как	3	6
226	друг от	2	6
227	своей жизни	3	6
228	самой жизни	2	6
229	одной из	6	6
230	более того	9	6
231	ту же	2	6
232	xviii века	3	6
233	уже сказали	2	6
234	между двумя	4	6
235	мы видим	2	6
236	характерно что	3	6
237	во всей	5	6
238	сказать что	12	6
239	событий и	2	6
240	рабле и	2	6
241	до нас	3	6
242	в начале	2	6
243	особенно в	7	6
244	за пределы	7	6
245	мы не	7	6
246	мы можем	9	6
247	мы находим	8	6
248	и самое	2	6
249	значение имеет	2	6
250	в сущности	15	6
251	дан в	3	6
252	смысле слова	2	6
253	нет и	3	6
254	о том	3	6
255	именно в	3	6
256	имеем в	3	6
257	время и	3	6
258	в эпоху	12	6
259	в которых	2	6
260	поэтому все	2	6
261	от друга	2	6
262	уже на	4	6
263	в сюжете	3	6
264	что было	2	6
265	в таком	3	6
266	слова и	5	6
267	с помощью	4	6
268	во все	5	5
269	следовательно и	2	5
270	как человек	2	5
271	о чем	2	5
272	и вообще	3	5
273	и через	5	5
274	по своей	12	5
275	только на	3	5
276	мире и	2	5
277	ничем не	3	5
278	в какой-то	5	5
279	например у	3	5
280	и почти	3	5
281	последующие эпохи	2	5
282	и пространства	2	5
283	xix века	2	5
284	сочетается с	4	5
285	в него	4	5
286	они не	5	5
287	с другими	6	5
288	но здесь	2	5
289	биографическое время	3	5
290	что все	3	5
291	там где	3	5
292	с ними	2	5
293	при изображении	2	5
294	той или	2	5
295	что они	2	5
296	всего этого	4	5
297	в этой	3	5
298	и они	4	5
