N	3gram	Vygotskiy_	Tvorches
1	в то же	2	25
2	то же время	2	24
3	в том что	30	11
4	о том что	10	8
5	в конечном счете	4	6
6	не может быть	8	6
7	по отношению к	11	5
8	в том же	3	5
9	в самом деле	5	5
10	с точки зрения	34	4
11	с самого начала	9	4
12	до сих пор	4	4
13	дело в том	2	4
14	точно так же	2	3
15	как и в	2	3
16	том что в	3	3
17	с другой стороны	10	3
18	во всяком случае	5	3
19	в отличие от	3	3
20	что он не	2	2
21	на самом деле	3	2
22	на этот вопрос	5	2
23	сам с собой	4	2
24	потому что он	3	2
25	на протяжении всего	2	2
26	для того чтобы	19	2
27	можно сказать что	5	2
28	он приходит к	2	2
29	мы уже говорили	3	2
30	в связи с	3	2
31	в первую очередь	3	2
32	том числе и	3	2
33	так как он	3	2
34	вместе с тем	5	2
35	заключается в том	10	2
36	так же как	6	2
37	в известном смысле	3	2
38	в целом и	6	2
39	в данном случае	5	2
40	в том числе	3	2
41	только то что	2	2
42	в одном из	2	2
43	именно в этом	3	2
44	в высшей степени	7	2
45	влечет за собой	2	2
46	и в самом	2	2
47	не потому что	2	2
48	в свою очередь	3	2
49	таким образом и	3	2
