N	2gram	Savitsky_P	Literetu
1	а не	2	50
2	и не	12	47
3	не только	17	46
4	и в	14	44
5	может быть	5	43
6	но и	6	41
7	в том	9	39
8	в этом	10	38
9	том что	4	32
10	хх века	2	32
11	в частности	2	30
12	то что	4	29
13	в мире	2	28
14	в качестве	9	27
15	то же	9	26
16	в то	7	23
17	не в	5	22
18	того что	2	22
19	не может	4	22
20	я и	3	21
21	же время	7	21
22	в себе	3	20
23	прежде всего	3	19
24	как бы	4	18
25	точки зрения	3	17
26	в его	2	17
27	с другой	5	17
28	в жизни	2	16
29	тем самым	3	15
30	со стороны	2	15
31	не менее	2	15
32	в русской	4	15
33	только в	7	15
34	в своем	4	13
35	с одной	3	13
36	но не	3	13
37	пути в	2	12
38	а также	4	12
39	в е	2	12
40	одной стороны	3	12
41	это не	3	11
42	не столько	2	11
43	а в	4	11
44	столь же	3	11
45	в области	11	10
46	что в	4	10
47	отнюдь не	2	10
48	в ее	2	10
49	из них	2	10
50	потому что	3	10
51	же в	4	9
52	в начале	2	9
53	одна из	2	8
54	быть может	6	8
55	xix века	6	8
56	но в	9	8
57	и как	3	8
58	с точки	3	8
59	как раз	2	8
60	и тем	2	7
61	и других	2	7
62	именно в	2	7
63	и с	2	7
64	в нем	3	7
65	в сфере	2	7
66	культуры в	2	6
67	было бы	6	6
68	не было	2	6
69	например в	2	6
70	во всех	2	6
71	в ней	6	6
72	том числе	2	6
73	как на	2	6
74	вслед за	3	5
75	между тем	3	5
76	тех кто	4	5
77	хотя бы	8	5
78	в россии	3	5
79	должно быть	2	5
80	мы не	3	5
81	а я	5	5
82	в силу	2	5
83	и если	4	5
84	и к	4	5
85	не к	2	5
86	для нас	2	4
87	с тем	3	4
88	могут быть	3	4
89	в них	2	4
90	во всей	2	4
91	хотя и	3	4
92	сводится к	3	4
93	и вот	2	4
94	для того	3	4
95	в пределах	8	4
96	более чем	2	4
97	и есть	2	4
98	отношения к	2	4
99	и потому	4	3
100	по себе	4	3
101	в отношении	10	3
102	есть не	2	3
103	и о	5	3
104	стороны и	2	3
105	и т	3	3
106	тот же	3	3
107	да и	2	3
108	если в	2	3
109	мысль о	2	3
110	если бы	4	3
111	где в	2	3
112	отношении к	5	3
113	говорить о	2	3
114	россии как	3	2
115	нужно было	2	2
116	в сравнении	3	2
117	в общем	2	2
118	и без	3	2
119	в полной	2	2
120	в русском	2	2
121	в сочетании	2	2
122	для них	2	2
123	с ними	3	2
124	и весьма	2	2
125	может и	2	2
126	никак не	2	2
127	и мы	2	2
128	время в	2	2
129	тем более	2	2
130	в значительной	2	2
131	сравнении с	3	2
132	в статье	2	2
133	в xix	2	2
134	в недрах	2	2
135	полной мере	2	2
136	xix веке	2	2
137	есть в	2	2
138	в котором	4	2
139	еще более	2	2
140	где бы	2	2
141	которое в	2	2
142	в ряду	2	2
143	друг другу	2	2
