N	3gram	Tiupa_Teor	Narrotol
1	в том что	10	18
2	в данном случае	5	17
3	по отношению к	10	11
4	в отличие от	7	11
5	не сводится к	9	8
6	в то же	8	8
7	той или иной	3	8
8	тем не менее	3	8
9	в соответствии с	2	8
10	то же время	8	8
11	не может быть	5	8
12	по большей части	2	8
13	можно сказать что	3	6
14	и тем самым	2	6
15	с одной стороны	3	6
16	в известном смысле	2	6
17	состоит в том	6	6
18	мы имеем дело	2	6
19	подобно тому как	3	5
20	для того чтобы	5	5
21	в свою очередь	3	5
22	к тому что	2	4
23	в конечном счете	6	4
24	в равной степени	3	4
25	так и не	5	3
26	как уже говорилось	2	3
27	тогда как в	2	3
28	присутствия в мире	6	3
29	того или иного	6	3
30	в связи с	3	3
31	по сути дела	3	3
32	с точки зрения	3	3
33	в самом деле	2	3
34	я в мире	8	3
35	несет в себе	3	3
36	одно и то	2	2
37	в русской литературе	2	2
38	и то же	2	2
39	тем или иным	2	2
40	не только не	2	2
41	в таком случае	2	2
42	более или менее	6	2
43	а с другой	2	2
44	в войне и	2	2
45	одного и того	4	2
46	по своей природе	3	2
47	не могло быть	2	2
48	присутствия я в	7	2
49	с легкой руки	2	2
50	войне и мире	2	2
51	в силу своей	4	2
52	и того же	4	2
53	и в то	2	2
54	кадров внутреннего зрения	7	2
