N	3gram	Vinokur_Ku	Literetu
1	в то же	4	21
2	то же время	4	21
3	в том что	23	21
4	по отношению к	8	12
5	с одной стороны	2	12
6	в отличие от	3	11
7	не может быть	5	11
8	состоит в том	4	11
9	в конечном счете	2	10
10	о том что	6	10
11	так или иначе	3	10
12	в этом отношении	8	10
13	с точки зрения	16	8
14	не говоря уже	2	8
15	с другой стороны	12	7
16	не только в	4	6
17	тем не менее	9	5
18	этой точки зрения	4	5
19	в соответствии с	5	5
20	с этой точки	3	5
21	в связи с	4	5
22	в том чтобы	9	5
23	и т п	39	3
24	во всяком случае	8	3
25	на самом деле	3	3
26	по крайней мере	11	3
27	в самом деле	14	3
28	только в том	5	3
29	на то что	3	3
30	по большей части	2	3
31	речь идет о	3	3
32	ничего общего с	2	3
33	в свою очередь	4	3
34	что же касается	4	2
35	для того чтобы	21	2
36	потому что не	2	2
37	на мой взгляд	2	2
38	это всего лишь	2	2
39	в виду не	2	2
40	в свое время	4	2
41	к этой книге	3	2
42	чуть ли не	3	2
43	и в самом	4	2
44	в этом случае	4	2
45	а с другой	3	2
46	к тому что	2	2
47	можно было бы	11	2
48	вместе с тем	3	2
49	в целом и	2	2
