N	2gram	Tiupa_Lite	Problemy
1	и в	26	106
2	и не	19	90
3	как бы	8	70
4	может быть	24	66
5	в его	9	56
6	в этом	19	52
7	в нем	4	51
8	не может	10	49
9	что он	8	44
10	как и	13	44
11	у достоевского	2	43
12	но и	25	40
13	точки зрения	8	40
14	для него	6	39
15	и его	7	39
16	а не	28	38
17	о себе	7	37
18	не только	29	36
19	то же	13	36
20	в пределах	4	35
21	то что	14	33
22	но в	5	33
23	прежде всего	14	32
24	в то	12	29
25	он не	4	29
26	не в	11	27
27	в одном	2	27
28	к себе	3	26
29	же время	12	26
30	в сущности	5	25
31	с точки	4	25
32	и т	2	25
33	в самом	4	25
34	и с	4	25
35	самом деле	2	24
36	не как	4	24
37	героя и	2	24
38	вовсе не	3	24
39	слова и	6	23
40	и на	5	23
41	таким образом	4	22
42	в каждом	2	22
43	что я	4	22
44	как мы	2	21
45	никогда не	5	20
46	все же	6	20
47	потому что	5	20
48	только в	8	20
49	что в	7	19
50	с его	5	19
51	отношению к	4	19
52	слова в	2	19
53	в себе	8	18
54	по отношению	6	18
55	т п	2	18
56	все эти	2	18
57	уже не	9	18
58	еще не	4	18
59	но не	8	18
60	это не	4	17
61	в том	22	17
62	так и	7	17
63	а в	5	17
64	самим собою	2	17
65	с ним	2	17
66	в другом	3	16
67	в своей	5	16
68	до конца	3	15
69	и наконец	2	15
70	у него	5	15
71	в отношении	2	14
72	так как	2	14
73	в своем	12	14
74	в конце	6	14
75	я не	8	14
76	лишь в	4	14
77	и сам	6	14
78	он и	5	14
79	как раз	6	14
80	а как	2	14
81	его в	4	13
82	героя в	2	13
83	в целом	10	13
84	себя и	3	13
85	в мире	9	13
86	том что	19	12
87	даже в	6	12
88	ничего не	3	12
89	так что	4	12
90	к тому	3	12
91	между тем	2	12
92	не знает	3	12
93	что и	3	12
94	при этом	23	12
95	было бы	4	12
96	во всяком	3	12
97	но это	2	12
98	за пределы	3	12
99	и даже	9	12
100	и как	2	12
101	как в	5	12
102	себе и	2	12
103	отношении к	2	12
104	и что	2	12
105	он сам	2	11
106	а я	2	11
107	тем что	6	11
108	с другой	11	11
109	как будто	2	11
110	для себя	6	10
111	что не	3	10
112	далеко не	4	10
113	в творчестве	2	10
114	приводит к	4	10
115	той же	5	10
116	в слове	3	10
117	самим собой	2	9
118	могут быть	4	9
119	раз и	2	9
120	да и	3	9
121	другой стороны	5	9
122	хотя бы	3	9
123	человека в	5	9
124	всяком случае	2	9
125	но как	3	8
126	уже в	7	8
127	наконец в	2	8
128	никак не	2	8
129	как к	4	8
130	одним из	8	8
131	того что	7	8
132	несмотря на	3	8
133	не на	2	8
134	должна быть	3	8
135	из его	2	8
136	художественного видения	2	8
137	и он	3	8
138	с их	3	8
139	ни было	2	8
140	в результате	2	8
141	о том	3	8
142	из них	5	8
143	же и	3	8
144	от него	2	7
145	в этих	2	7
146	в их	3	7
147	к своему	2	7
148	от себя	2	7
149	в виду	4	7
150	и др	4	7
151	только на	3	7
152	себя как	2	7
153	героя с	2	7
154	например в	3	7
155	в жизни	7	7
156	чужого сознания	4	7
157	я все	3	7
158	такой же	3	7
159	во всех	4	7
160	не было	5	7
161	в себя	5	7
162	от автора	2	6
163	идет о	4	6
164	другого в	4	6
165	как он	2	6
166	отличие от	6	6
167	а с	2	6
168	по существу	4	6
169	не менее	11	6
170	в художественном	6	6
171	себя в	7	6
172	но зато	2	6
173	одна из	8	6
174	для этого	5	6
175	и нет	4	6
176	в начале	4	6
177	можно было	3	6
178	ни был	2	6
179	время не	2	6
180	превращается в	2	6
181	и вот	2	6
182	художественного мира	3	6
183	него в	2	6
184	друг друга	5	6
185	в отличие	6	6
186	и только	4	6
187	в этой	7	6
188	на то	2	6
189	на почве	2	6
190	я в	12	6
191	в своих	5	6
192	на этом	3	6
193	жизни и	6	6
194	в основе	5	6
195	как на	3	6
196	на фоне	5	6
197	не мог	3	6
198	но с	3	6
199	и то	3	5
200	или иной	3	5
201	если б	2	5
202	крайней мере	2	5
203	себе как	2	5
204	том же	3	5
205	со всеми	2	5
206	с тем	2	5
207	того же	5	5
208	на себя	4	5
209	в чем	2	5
210	однако в	7	5
211	один из	7	5
212	мы не	5	5
213	и самого	2	5
214	в авторском	2	5
215	все то	2	5
216	но при	2	5
217	то есть	11	5
218	мира в	4	5
219	та же	2	5
220	по крайней	2	5
221	подобно тому	4	5
222	тому же	2	5
223	мир и	2	5
224	что ты	2	5
225	тому как	4	5
226	с собой	4	5
227	я и	10	5
228	в ней	4	5
229	художественного творчества	3	5
230	вместе с	5	5
231	тем не	4	4
232	в каждой	2	4
233	при всей	5	4
234	и прежде	4	4
235	это как	3	4
236	из которых	3	4
237	в формах	4	4
238	каждый из	4	4
239	для понимания	2	4
240	художественном мире	3	4
241	сознания не	2	4
242	но только	3	4
243	а то	2	4
244	и говорит	2	4
245	даже и	2	4
246	то это	2	4
247	связи с	7	4
248	мир в	5	4
249	в чужом	4	4
250	эти слова	2	4
251	с идеей	2	4
252	нет в	2	4
253	как нам	2	4
254	то в	3	4
255	то и	5	4
256	на два	2	4
257	в литературе	2	4
258	в словах	2	4
259	о своем	3	4
260	с ее	3	4
261	автора в	2	4
262	с миром	5	4
263	бы не	3	4
264	этом отношении	5	4
265	если оно	2	4
266	с этой	6	4
267	то он	3	4
268	также и	3	4
269	что такое	2	4
270	все что	3	4
271	не есть	2	4
272	со своим	2	4
273	еще в	7	4
274	личности в	4	4
275	перестает быть	5	4
276	за собой	2	4
277	данном случае	6	3
278	чтобы не	2	3
279	не для	2	3
280	человека и	2	3
281	по своей	3	3
282	целом ряде	2	3
283	и всегда	2	3
284	этого не	2	3
285	в руках	2	3
286	как я	3	3
287	своего рода	22	3
288	он говорит	2	3
289	и само	3	3
290	героя как	2	3
291	так в	6	3
292	всего в	4	3
293	на другого	2	3
294	нуждается в	3	3
295	не бывает	2	3
296	а затем	3	3
297	же в	6	3
298	этом случае	2	3
299	обращается к	5	3
300	автора а	2	3
301	и мы	2	3
302	одной из	2	3
