N	3gram	Vygotskiy_	Russkaja
1	друг с другом	6	14
2	в то же	2	10
3	с точки зрения	31	9
4	в том что	24	7
5	для того чтобы	24	6
6	на самом деле	2	6
7	до сих пор	6	5
8	на то что	5	4
9	не может быть	6	4
10	вместе с тем	6	3
11	в этом случае	15	3
12	в лучшем случае	3	3
13	в данном случае	5	3
14	той или иной	2	3
15	и то что	5	3
16	можно было бы	5	3
17	и не может	2	3
18	к тому что	10	2
19	не могут не	4	2
20	точно так же	3	2
21	и тем самым	8	2
22	в том и	3	2
23	в большинстве случаев	2	2
24	и вместе с	2	2
25	только в том	2	2
26	в значительной мере	2	2
27	о том что	4	2
28	тот факт что	2	2
29	друг от друга	3	2
