N	3gram	Propp_Isto	Literetu
1	в том что	6	21
2	по отношению к	6	12
3	с одной стороны	7	12
4	в отличие от	3	11
5	не может быть	8	11
6	о том что	5	10
7	с другой стороны	7	7
8	подобно тому как	3	6
9	не только в	5	6
10	тем не менее	7	5
11	в связи с	5	5
12	бы то ни	2	4
13	то ни было	2	4
14	то же самое	3	3
15	на самом деле	2	3
16	на то что	5	3
17	в другом тексте	2	2
18	за то что	2	2
19	могли бы быть	2	2
20	и вместе с	2	2
21	на первый взгляд	2	2
22	в этом случае	3	2
23	но в отличие	3	2
24	в другом месте	2	2
25	но и в	4	2
26	в чистом виде	2	2
27	можно было бы	5	2
28	вместе с тем	7	2
29	дело в том	3	2
