N	3gram	Voloshinov	Problema
1	тем не менее	3	56
2	в том что	4	37
3	то же самое	2	30
4	в настоящее время	2	30
5	в данном случае	2	28
6	с точки зрения	2	25
7	с другой стороны	2	25
8	до сих пор	3	14
9	на самом деле	2	13
10	не может быть	7	12
11	можно сказать что	5	12
12	бы то ни	3	11
13	дело в том	4	11
14	с одной стороны	2	11
15	может быть и	3	9
16	и то же	2	6
17	но отнюдь не	2	6
18	то ни было	3	6
19	имеем в виду	2	5
20	одно и то	2	5
21	в зависимости от	2	5
22	этой точки зрения	3	4
23	и не в	3	4
24	мы никогда не	2	3
25	да и вообще	2	3
26	бы мы ни	3	3
27	одной стороны и	2	3
28	по отношению к	11	2
29	сколько бы мы	3	2
30	и не может	3	2
31	это не так	2	2
32	но тем не	2	2
33	мы все время	2	2
