N	2gram	Voloshinov	VLabPisa
1	таким образом	6	32
2	в этом	2	29
3	не только	6	26
4	и в	13	26
5	может быть	8	23
6	хотя бы	5	20
7	и не	8	20
8	в процессе	5	17
9	не может	8	17
10	в том	2	15
11	в его	7	15
12	прежде всего	9	13
13	все это	4	13
14	что в	3	11
15	с другой	2	11
16	то же	4	10
17	но и	3	10
18	и др	2	10
19	для него	2	9
20	том что	2	8
21	ни один	3	8
22	могут быть	2	8
23	другой стороны	2	8
24	все эти	2	8
25	было бы	4	8
26	только в	6	8
27	по отношению	3	7
28	художественное произведение	2	7
29	то что	6	7
30	отношению к	3	7
31	как и	3	7
32	в нем	2	7
33	а не	2	7
34	произведения как	4	6
35	не в	3	6
36	в себе	3	6
37	художественного произведения	5	6
38	все же	5	6
39	в искусстве	3	6
40	так и	3	6
41	в зависимости	2	6
42	и его	12	6
43	между тем	2	6
44	никогда не	3	5
45	в одном	3	5
46	в пределах	3	5
47	зависимости от	2	5
48	в их	3	5
49	не является	4	5
50	и при	2	5
51	к тому	2	5
52	как бы	6	5
53	в них	2	5
54	в целом	2	5
55	в сознании	4	4
56	и ее	2	4
57	роль в	2	4
58	ее в	2	4
59	в самом	2	4
60	в ее	3	4
61	с ними	2	4
62	в своей	4	4
63	в связи	2	4
64	чем же	2	4
65	и к	2	3
66	с этим	3	3
67	этой проблемы	2	3
68	так же	2	3
69	вслед за	2	3
70	бы в	2	3
71	если бы	2	3
72	и их	7	3
73	явлений и	2	3
74	а в	2	3
75	точки зрения	7	3
76	что они	2	3
77	вовсе не	2	3
78	в целях	2	2
79	в книге	2	2
80	да и	3	2
81	того или	2	2
82	еще и	4	2
83	одной стороны	2	2
84	в каждом	4	2
85	в другом	2	2
86	представлений и	2	2
87	связана с	3	2
88	а как	2	2
89	в области	2	2
90	и наконец	5	2
91	понятно что	3	2
92	в которой	3	2
93	между собою	2	2
94	в течение	2	2
95	в чем	2	2
96	с одной	2	2
97	и для	3	2
98	и этот	2	2
99	не менее	2	2
100	но в	4	2
101	в общем	2	2
102	в своих	2	2
103	в ней	2	2
104	но для	3	2
105	к сожалению	2	2
106	не столько	3	2
107	смысле слова	2	2
108	и отбор	2	2
109	говорить о	3	2
110	и может	2	2
111	во всей	2	2
112	в словесном	2	2
113	на язык	2	2
114	лишь в	4	2
