N	2gram	Trubetskoy	SlovoVZh
1	не может	4	16
2	точки зрения	13	14
3	может быть	10	14
4	как бы	12	13
5	и в	26	12
6	таким образом	22	12
7	отношению к	3	11
8	и не	8	10
9	так как	9	9
10	если бы	3	9
11	прежде всего	2	8
12	сказать что	2	7
13	творца и	2	7
14	при этом	3	6
15	в том	11	6
16	в нем	4	6
17	только в	4	6
18	в процессе	2	6
19	никогда не	5	5
20	что мы	2	5
21	в виду	2	5
22	можно сказать	3	5
23	но в	7	5
24	том что	7	5
25	то же	4	5
26	хотя бы	3	5
27	а не	5	5
28	то что	7	5
29	в самом	4	4
30	в этом	15	4
31	не только	10	4
32	и является	2	4
33	жизни и	2	4
34	не в	2	4
35	ни было	2	4
36	с другой	8	4
37	все же	6	4
38	к нему	7	4
39	и к	5	4
40	так и	6	4
41	и на	2	4
42	уже не	3	4
43	отношение к	5	4
44	в них	2	3
45	о том	6	3
46	и для	5	3
47	так называемой	2	3
48	не к	2	3
49	и проч	2	3
50	из этого	2	3
51	все эти	6	3
52	в котором	4	3
53	бы то	2	3
54	и наконец	2	3
55	то ни	2	3
56	так же	5	3
57	конечно не	2	3
58	в себе	6	3
59	еще не	2	3
60	все это	6	3
61	когда он	3	3
62	между тем	2	3
63	и с	10	3
64	этой точки	2	3
65	не менее	3	3
66	сих пор	5	3
67	до сих	5	3
68	быть и	2	3
69	и по	4	3
70	того что	3	3
71	тем не	3	3
72	но и	9	3
73	для него	3	3
74	ясно что	3	3
75	в его	5	2
76	к его	2	2
77	и здесь	2	2
78	что в	9	2
79	к ним	3	2
80	в отношении	6	2
81	общего с	2	2
82	с его	2	2
83	и те	3	2
84	что и	6	2
85	и все	2	2
86	с точки	6	2
87	но все	7	2
88	тому же	5	2
89	в своем	3	2
90	на все	2	2
91	с другими	4	2
92	из него	2	2
93	мы имеем	2	2
94	и что	4	2
95	в то	4	2
96	перестает быть	2	2
97	те же	2	2
98	уже в	2	2
99	с этой	3	2
100	в этих	4	2
101	одной стороны	7	2
102	связь с	2	2
103	и другие	3	2
104	он не	4	2
105	героев и	2	2
106	как на	8	2
107	и потому	6	2
108	но не	8	2
109	мы можем	2	2
110	с одной	7	2
111	относится к	2	2
112	к этому	3	2
113	же самое	2	2
114	тогда когда	2	2
115	вместе с	15	2
