N	2gram	Nazirov_Tv	VelikijI
1	во имя	3	32
2	и не	12	20
3	и в	40	16
4	свободы и	2	12
5	так как	6	9
6	то что	9	9
7	еще не	5	8
8	в истории	2	8
9	и потому	4	7
10	на земле	4	7
11	что они	3	7
12	а не	9	7
13	не есть	2	6
14	человека и	6	6
15	в мире	8	5
16	как бы	26	5
17	на себя	2	5
18	бога и	3	5
19	великом инквизиторе	3	5
20	но и	10	5
21	все это	14	5
22	хотя и	5	5
23	того что	3	5
24	это еще	2	4
25	что все	4	4
26	и все	6	4
27	как и	16	4
28	добра и	3	4
29	в котором	8	4
30	потому что	10	4
31	в нем	4	4
32	в образе	4	4
33	в ней	2	4
34	что не	5	4
35	и я	2	4
36	в его	19	4
37	о великом	3	4
38	в этом	11	4
39	что он	11	4
40	и есть	2	4
41	так и	5	4
42	никогда не	13	3
43	превращается в	2	3
44	в жизни	3	3
45	что в	17	3
46	в том	13	3
47	не имеет	2	3
48	всемирной истории	2	3
49	тому что	2	3
50	за то	2	3
51	но в	11	3
52	к тому	2	3
53	ни в	2	3
54	что ты	2	3
55	то это	2	3
56	но это	10	3
57	хотя бы	5	3
58	и будет	2	3
59	в своей	8	3
60	во всех	2	3
61	личности и	2	3
62	в конце	5	3
63	и против	2	3
64	жизни и	3	3
65	что и	3	3
66	не было	3	3
67	если не	4	3
68	людей в	2	3
69	и что	2	3
70	не в	3	3
71	все эти	3	3
72	в этих	2	3
73	что я	4	3
74	в чем	4	3
75	тот же	3	3
76	с его	12	3
77	одна из	5	2
78	не так	5	2
79	но не	7	2
80	не могли	2	2
81	ее и	2	2
82	и это	2	2
83	это не	9	2
84	ее в	3	2
85	не только	16	2
86	не могут	2	2
87	а в	10	2
88	том что	14	2
89	для человека	3	2
90	сто тысяч	2	2
91	на том	2	2
92	во главе	2	2
93	его к	2	2
94	от него	2	2
95	и зла	2	2
96	во всяком	2	2
97	и тогда	2	2
98	вслед за	2	2
99	уже не	6	2
100	могут быть	4	2
101	когда я	2	2
102	не к	2	2
103	в духе	6	2
104	легенда о	4	2
105	один из	5	2
106	т д	10	2
107	ивана карамазова	7	2
108	давно уже	2	2
109	не будет	2	2
110	для них	2	2
111	мира в	2	2
112	тем что	2	2
113	вот почему	3	2
114	мы не	3	2
115	человека как	2	2
116	это все	2	2
117	только в	7	2
118	верит в	2	2
119	и сам	5	2
120	его и	2	2
121	в себя	3	2
122	на этих	2	2
123	людей и	2	2
124	прежде всего	10	2
125	и т	14	2
126	с ним	4	2
127	между тем	2	2
128	о свободе	3	2
129	а с	4	2
130	для него	9	2
