N	3gram	Vinokur_St	slovoVRo
1	и т п	11	72
2	не может быть	5	19
3	в то же	5	18
4	то же время	5	18
5	с точки зрения	10	15
6	с одной стороны	2	11
7	и т д	25	10
8	более или менее	2	9
9	в этом случае	3	9
10	т п в	4	8
11	во всяком случае	8	8
12	в зависимости от	2	8
13	но в то	2	7
14	в значительной степени	2	7
15	так и в	5	6
16	с другой стороны	8	6
17	но все же	3	6
18	в том что	29	5
19	в этом отношении	13	5
20	не только в	4	5
21	может быть и	2	5
22	хотя бы и	2	5
23	по отношению к	3	5
24	для того чтобы	13	4
25	а также и	2	4
26	до сих пор	12	4
27	к тому что	4	3
28	свое выражение в	2	3
29	но и здесь	2	3
30	как и в	2	3
31	в данном случае	7	3
32	того или иного	4	3
33	не только не	2	2
34	вовсе не в	2	2
35	нужно сказать что	5	2
36	о том что	19	2
37	иметь в виду	2	2
38	можно было бы	8	2
39	это не значит	3	2
40	в то время	2	2
41	с самого начала	3	2
42	и в том	3	2
43	как бы ни	2	2
44	тот факт что	5	2
45	но и в	2	2
46	и в этом	4	2
47	то или иное	3	2
48	тем не менее	4	2
49	а между тем	2	2
