N	3gram	Tiupa_Narr	StatiiOP
1	в том что	8	47
2	о том что	6	29
3	в этом отношении	3	24
4	с точки зрения	2	14
5	с другой стороны	4	13
6	не может быть	5	11
7	в то же	3	9
8	то же время	3	9
9	можно было бы	2	9
10	тем не менее	3	8
11	не только в	2	8
12	в данном случае	4	7
13	но все же	4	7
14	по отношению к	6	6
15	так же как	2	6
16	речь идет о	2	6
17	сами по себе	2	4
18	в связи с	2	4
19	с одной стороны	7	4
20	так или иначе	2	4
21	обращает на себя	3	4
22	того или иного	2	4
23	бы то ни	3	3
24	можно сказать что	4	3
25	на себя внимание	3	3
26	в известном смысле	2	3
27	в том числе	6	3
28	и не в	4	3
29	к тому же	4	3
30	более или менее	2	3
31	то или иное	2	3
32	состоит в том	3	3
33	в значительной степени	2	3
34	той или иной	4	2
35	не может не	2	2
36	в отличие от	5	2
37	то ни было	3	2
38	точно так же	2	2
39	том числе и	4	2
40	в свою очередь	3	2
41	а не в	2	2
42	в той или	2	2
