N	2gram	Medvedev_S	Freidism
1	таким образом	2	34
2	может быть	2	28
3	и в	3	28
4	в этом	5	28
5	в его	3	25
6	как бы	2	19
7	то что	2	17
8	по отношению	2	13
9	том что	2	12
10	то же	2	12
11	все это	7	12
12	отношению к	2	11
13	только в	2	11
14	за пределы	2	10
15	не только	3	10
16	но и	2	10
17	не в	3	10
18	в том	5	10
19	было бы	2	8
20	еще не	2	8
21	что в	2	7
22	и только	3	6
23	и что	2	6
24	далеко не	2	5
25	но ведь	3	4
26	главным образом	2	4
27	только как	2	4
28	это и	2	4
29	в результате	2	3
30	дело не	2	2
31	в конце	2	2
32	конце концов	2	2
33	для нас	3	2
34	должна быть	2	2
