N	2gram	Voloshinov	Marksizm
1	точки зрения	7	69
2	может быть	8	64
3	и в	13	63
4	и не	8	55
5	как бы	6	53
6	не может	8	47
7	с точки	5	46
8	и пр	7	42
9	и его	12	41
10	в этом	2	39
11	таким образом	6	38
12	абстрактного объективизма	10	37
13	в процессе	5	33
14	языка и	5	31
15	в пределах	3	31
16	лишь в	4	30
17	не только	6	29
18	в нем	2	28
19	то же	4	28
20	языка как	3	27
21	но и	3	27
22	в языке	2	26
23	самом деле	3	25
24	прежде всего	9	24
25	как и	3	24
26	в самом	2	24
27	так и	3	23
28	и т.п	7	23
29	только в	6	23
30	в том	2	22
31	то что	6	22
32	а не	2	22
33	при этом	2	20
34	для него	2	20
35	том что	2	19
36	не в	3	19
37	в его	7	19
38	если бы	2	19
39	но в	4	18
40	в ее	3	18
41	и для	3	18
42	вовсе не	2	18
43	все же	5	17
44	по отношению	3	16
45	социального общения	6	16
46	слова и	2	16
47	в связи	2	15
48	отношению к	3	15
49	с помощью	2	15
50	в данном	2	14
51	хотя бы	5	14
52	так же	2	13
53	мы не	4	13
54	было бы	4	13
55	в своей	4	13
56	не является	4	13
57	что в	3	13
58	а в	2	12
59	между тем	2	12
60	как в	2	11
61	и все	3	11
62	в ней	2	11
63	не столько	3	11
64	все эти	2	11
65	так как	3	11
66	монологическое высказывание	3	11
67	мы уже	2	11
68	никогда не	3	10
69	в каждом	4	10
70	самого начала	2	10
71	здесь мы	3	10
72	более того	2	10
73	с самого	2	10
74	с другой	2	10
75	и следовательно	2	9
76	в себе	3	9
77	общения и	2	9
78	о языке	2	9
79	а как	2	9
80	к тому	2	9
81	и эта	5	9
82	не имеет	2	9
83	в отношении	2	8
84	и ее	2	8
85	не как	3	8
86	и т.д	5	8
87	в их	3	8
88	с этим	3	8
89	языковых форм	2	8
90	другой стороны	2	8
91	за пределы	3	8
92	мы можем	4	8
93	и их	7	8
94	чем же	2	8
95	как системы	3	7
96	может стать	2	7
97	те же	2	7
98	могут быть	2	7
99	там где	2	7
100	с ними	2	7
101	конечно в	2	7
102	бы в	2	7
103	общественной психологии	2	7
104	социальной группы	4	7
105	вполне понятно	4	7
106	мы должны	6	6
107	в другом	2	6
108	слово в	3	6
109	от своего	2	6
110	одной стороны	2	6
111	что же	3	6
112	все это	4	6
113	тот же	2	6
114	сознания и	2	6
115	зависимости от	2	6
116	с одной	2	6
117	смысле слова	2	6
118	входит в	2	6
119	ничего общего	3	6
120	к одному	3	5
121	понятно что	3	5
122	и тем	2	5
123	точку зрения	3	5
124	форм и	2	5
125	истории языка	2	5
126	от этого	2	5
127	не менее	2	5
128	в двух	4	5
129	в языковом	2	5
130	да и	3	5
131	этой проблемы	2	5
132	ее в	2	5
133	связана с	3	5
134	в целях	2	5
135	она является	2	5
136	и является	2	5
137	для себя	2	5
138	интонации в	2	5
139	на язык	2	5
140	в одном	3	5
141	в материале	5	5
142	в лингвистике	2	5
143	нуждается в	2	4
144	в тех	2	4
145	в области	2	4
146	и к	2	4
147	в жизненной	2	4
148	в них	2	4
149	разрыв между	2	4
150	в зависимости	2	4
151	что они	2	4
152	во всей	2	4
153	слов и	4	4
154	и то	3	4
155	речи не	2	4
156	нет ничего	2	4
157	в которой	3	4
158	но ведь	5	4
159	но для	3	4
160	мог бы	2	4
161	уже в	2	4
162	несмотря на	2	4
163	тем что	2	4
164	еще и	4	3
165	в действительности	2	3
166	только и	4	3
167	и стиль	2	3
168	роль в	2	3
169	и при	2	3
170	в целом	2	3
171	жизненной речи	2	3
172	подойти к	2	3
173	в руках	2	3
174	общего с	3	3
175	говорить об	2	3
176	оценка и	2	3
177	и др	2	3
178	мы видим	2	3
179	не на	2	3
180	имеет место	2	3
181	одно и	3	3
182	того или	2	3
183	к единству	3	3
184	и этот	2	3
185	экспрессивной интонации	3	3
186	в этот	2	3
187	изолированное монологическое	2	3
188	в своих	2	3
189	еще в	2	3
190	учение о	2	3
191	каждое слово	2	3
192	что эта	2	3
193	говорить о	3	3
194	литературного языка	2	3
195	его на	2	2
196	эта динамика	2	2
197	иное как	2	2
198	же слово	2	2
199	в общем	2	2
200	тех пор	4	2
201	высказывание и	2	2
202	помимо этого	2	2
203	мы понимаем	2	2
204	форм но	2	2
205	только путем	3	2
206	данном случае	2	2
207	мы получим	2	2
208	является уже	2	2
209	к анализу	2	2
210	или иного	2	2
211	в сознании	4	2
212	до тех	4	2
213	лингвистики в	2	2
214	не что	2	2
215	превращается в	3	2
216	и наконец	5	2
217	героя и	2	2
218	с этой	2	2
219	в чем	2	2
220	между собою	2	2
221	в г	2	2
222	во всем	2	2
223	явлений и	2	2
224	метода в	5	2
225	есть прежде	3	2
226	г в	3	2
227	исследовательского пути	2	2
228	разумеется что	2	2
229	школы и	2	2
230	пор пока	3	2
231	и помимо	2	2
