N	3gram	Tiupa_Narr	Literetu
1	в то же	3	21
2	то же время	3	21
3	в том что	8	21
4	по отношению к	6	12
5	с одной стороны	7	12
6	в данном случае	4	11
7	в отличие от	5	11
8	не может быть	5	11
9	состоит в том	3	11
10	в конечном счете	2	10
11	о том что	6	10
12	так или иначе	2	10
13	в этом отношении	3	10
14	присутствия в мире	2	8
15	с точки зрения	2	8
16	с другой стороны	4	7
17	в том числе	6	6
18	к тому же	4	6
19	подобно тому как	2	6
20	не только в	2	6
21	тем не менее	3	5
22	этой точки зрения	2	5
23	в связи с	2	5
24	бы то ни	3	4
25	тогда как в	2	4
26	то ни было	3	4
27	и тем самым	3	4
28	той или иной	4	3
29	не сводится к	2	3
30	речь идет о	2	3
31	ту или иную	2	3
32	том числе и	4	3
33	в свою очередь	3	3
34	мы имеем дело	2	2
35	так и не	2	2
36	на первый взгляд	2	2
37	все та же	2	2
38	при всей своей	2	2
39	можно было бы	2	2
40	в значительной степени	2	2
41	и представляет собой	2	2
42	в себя и	2	2
