N	3gram	Bakhtin_Pr	StatiiOP
1	в том что	6	47
2	и т д	4	32
3	о том что	2	29
4	в этом отношении	3	24
5	и т п	10	19
6	до сих пор	9	19
7	с точки зрения	21	14
8	во всяком случае	4	13
9	с другой стороны	6	13
10	не может быть	8	11
11	в то же	13	9
12	в самом деле	6	9
13	то же время	13	9
14	на то что	2	9
15	можно было бы	3	9
16	на самом деле	4	8
17	тем не менее	2	8
18	не только в	2	8
19	том что он	5	7
20	в данном случае	2	7
21	в конце концов	7	7
22	в то время	2	7
23	и в этом	5	7
24	но все же	3	7
25	по крайней мере	2	6
26	по отношению к	12	6
27	так и в	2	6
28	в письме к	2	6
29	не только не	2	6
30	в одном из	2	6
31	в этом смысле	12	6
32	то время как	2	5
33	сами по себе	4	4
34	но это не	2	4
35	бы то ни	3	3
36	в той же	3	3
37	т е в	3	3
38	можно сказать что	2	3
39	т е не	2	3
40	а вовсе не	2	3
41	к тому же	2	3
42	в лучшем случае	2	3
43	более или менее	4	3
44	это не значит	3	3
45	сам по себе	2	2
46	в целом ряде	2	2
47	но в то	7	2
48	может быть и	2	2
49	для него самого	2	2
50	он не только	2	2
51	как и в	3	2
52	и в то	2	2
53	в отличие от	4	2
54	то ни было	2	2
55	но с другой	2	2
56	между тем как	5	2
57	на этот вопрос	2	2
58	в настоящее время	3	2
59	здесь не место	2	2
60	в зависимости от	5	2
61	хотя бы и	3	2
62	и в других	2	2
63	ни в одном	3	2
