N	3gram	Losev_Prob	VeschiIm
1	это значит что	2	25
2	не может быть	2	24
3	то ни было	2	12
4	не что иное	3	12
5	бы то ни	4	12
6	что иное как	3	12
7	тем не менее	8	11
8	по крайней мере	8	10
9	в том что	13	9
10	на то что	2	7
11	сама по себе	2	7
12	то и другое	5	6
13	вовсе не есть	2	6
14	с точки зрения	13	6
15	может быть только	6	6
16	так или иначе	3	6
17	в то же	2	5
18	не только в	5	5
19	в свою очередь	2	5
20	и то что	3	5
21	с этой точки	2	4
22	потому что они	2	4
23	то время как	4	4
24	этой точки зрения	2	4
25	сам по себе	3	4
26	о том что	14	4
27	в то время	4	4
28	дело в том	4	4
29	это и есть	2	4
30	равно как и	2	4
31	можно сказать что	4	3
32	можно было бы	2	3
33	вместе с тем	5	3
34	с одной стороны	5	3
35	с другой стороны	7	3
36	все же не	3	3
37	и не в	2	3
38	мы находим в	3	2
39	во всяком случае	6	2
40	но все же	2	2
41	для того чтобы	3	2
42	в этом отношении	4	2
43	только о том	2	2
44	том что он	3	2
45	в связи с	11	2
46	хотя бы даже	2	2
47	в конце концов	7	2
48	только тогда когда	3	2
49	в данном случае	5	2
50	в том или	3	2
51	в этом смысле	4	2
52	но даже и	4	2
53	и в частности	4	2
54	всего то что	2	2
55	крайней мере в	3	2
56	тех или иных	2	2
57	в той или	2	2
58	в том чтобы	2	2
