N	2gram	Bakhtin_Fr	NovoeSre
1	а не	2	17
2	и в	73	16
3	не может	4	16
4	совсем не	3	12
5	нового времени	5	12
6	и не	13	11
7	и есть	3	10
8	в эпоху	13	9
9	что в	14	9
10	жизни и	6	8
11	в том	13	8
12	он не	4	8
13	может быть	5	7
14	средние века	9	7
15	как и	19	7
16	в новой	7	7
17	к новому	2	7
18	в этом	21	7
19	никогда не	6	6
20	лишь в	2	6
21	ни в	7	6
22	не в	12	6
23	не знает	4	6
24	но это	3	6
25	с его	5	6
26	не только	11	5
27	должен быть	4	5
28	все это	19	5
29	в нем	18	5
30	с ее	3	5
31	в ней	10	5
32	и к	6	5
33	xix века	2	5
34	должно быть	4	4
35	по своему	3	4
36	со всех	3	4
37	в них	14	4
38	и для	8	4
39	не имеет	4	4
40	всех сторон	2	4
41	прежде всего	18	4
42	не было	4	4
43	и потому	6	4
44	то что	12	4
45	о том	13	4
46	это не	7	4
47	потому что	9	4
48	и все	19	4
49	в мире	3	3
50	но и	15	3
51	к жизни	4	3
52	с другой	3	3
53	в ее	6	3
54	к тому	2	3
55	в своей	4	3
56	еще не	3	3
57	в истории	3	3
58	человека и	3	3
59	должна быть	3	3
60	как в	9	3
61	конечно не	2	3
62	не есть	2	3
63	в духе	4	3
64	сказать что	4	3
65	во всех	13	3
66	это было	4	3
67	в основе	3	3
68	с тем	2	3
69	в средние	9	3
70	в одну	4	2
71	в себе	16	2
72	все они	7	2
73	и с	17	2
74	одна из	7	2
75	для этого	2	2
76	себя в	3	2
77	духа в	2	2
78	и т.п	21	2
79	что все	3	2
80	и от	10	2
81	роль в	4	2
82	того чтобы	2	2
83	и это	6	2
84	а в	10	2
85	все время	4	2
86	но в	12	2
87	том что	8	2
88	и на	12	2
89	с этим	4	2
90	есть в	9	2
91	и что	5	2
92	все эти	24	2
93	мы не	2	2
94	можно было	4	2
95	связаны с	7	2
96	времени в	2	2
97	мира и	6	2
98	у него	13	2
99	времени и	2	2
100	уже не	2	2
101	по существу	8	2
102	как это	2	2
103	другой стороны	2	2
104	так же	11	2
105	так и	13	2
106	одной стороны	3	2
107	такой же	3	2
108	в то	14	2
109	не могла	2	2
110	хотя и	5	2
111	мысли и	3	2
112	мы говорим	2	2
113	с одной	3	2
114	от старого	2	2
115	том и	2	2
116	место в	4	2
117	и даже	4	2
118	в центре	2	2
119	ведь и	3	2
120	вместе с	9	2
121	я не	3	2
122	старый мир	2	2
