N	3gram	Tiupa_Anal	slovoVRo
1	не может быть	2	19
2	в то же	7	18
3	то же время	7	18
4	той или иной	6	15
5	с точки зрения	2	15
6	в отличие от	5	14
7	в той или	2	13
8	с одной стороны	3	11
9	во всяком случае	6	8
10	в значительной степени	3	7
11	с другой стороны	7	6
12	в том что	12	5
13	в этом отношении	3	5
14	не только в	5	5
15	по отношению к	9	5
16	можно сказать что	2	4
17	в свою очередь	7	4
18	до известной степени	3	3
19	включает в себя	2	3
20	как и в	6	3
21	в данном случае	11	3
22	того или иного	5	3
23	сама по себе	3	3
24	иметь дело с	2	2
25	не только не	3	2
26	тот или иной	3	2
27	о том что	7	2
28	здесь не только	4	2
29	в известном смысле	2	2
30	но и в	2	2
31	тем не менее	3	2
32	же время в	2	2
