N	3gram	Bakhtin_Fr	VeschiIm
1	не может быть	4	24
2	в том что	8	9
3	в самом деле	2	7
4	с точки зрения	5	6
5	в то же	14	5
6	подобно тому как	2	5
7	в чем же	3	5
8	более или менее	2	4
9	о том как	2	4
10	о том что	5	4
11	в то время	3	4
12	дело в том	4	4
13	то же время	14	4
14	это и есть	2	4
15	в отрыве от	2	3
16	можно сказать что	4	3
17	можно было бы	2	3
18	вместе с тем	2	3
19	с одной стороны	2	3
20	с другой стороны	2	3
21	и в то	3	3
22	мы видели что	2	3
23	и не в	2	3
24	все то что	5	2
25	можно говорить о	2	2
26	мы находим в	2	2
27	хотя бы в	2	2
28	для того чтобы	8	2
29	в этом отношении	7	2
30	нужно сказать что	4	2
31	в связи с	5	2
32	мы видим что	2	2
33	так же как	4	2
34	друг с другом	2	2
35	в данном случае	4	2
36	в первом случае	3	2
37	явление то есть	2	2
