N	2gram	Potebnia_M	UchenyiS
1	и в	58	14
2	не только	32	10
3	а не	38	10
4	и не	34	8
5	прежде всего	8	8
6	то что	24	7
7	не может	30	7
8	в этом	18	7
9	может быть	47	6
10	перестает быть	3	5
11	и только	6	5
12	то же	13	5
13	хотя бы	4	5
14	все это	3	5
15	но и	26	4
16	в этой	3	4
17	что такое	3	4
18	с другой	13	4
19	в их	3	4
20	у нас	3	3
21	для этого	2	3
22	не следует	6	3
23	это не	10	3
24	вряд ли	2	3
25	очевидно что	5	3
26	и то	4	3
27	в своей	3	3
28	все же	11	3
29	не как	4	3
30	как и	16	3
31	в то	6	3
32	но в	12	3
33	же время	4	3
34	ни было	4	3
35	было бы	21	3
36	бы то	2	3
37	то ни	3	3
38	другой стороны	7	3
39	для него	13	3
40	в самом	5	2
41	в себе	22	2
42	что мы	11	2
43	и у	3	2
44	же не	2	2
45	нас в	2	2
46	что он	5	2
47	крайней мере	6	2
48	таким образом	21	2
49	но не	19	2
50	и для	8	2
51	если бы	23	2
52	их и	2	2
53	противном случае	3	2
54	не все	3	2
55	между тем	7	2
56	самом деле	2	2
57	только в	36	2
58	одним из	2	2
59	этом смысле	4	2
60	а его	3	2
61	не есть	13	2
62	что она	3	2
63	ничего не	2	2
64	всех этих	2	2
65	даже и	4	2
66	и с	3	2
67	что и	16	2
68	по крайней	6	2
69	вопроса о	2	2
70	при таком	5	2
71	могут быть	17	2
72	а между	5	2
73	но даже	2	2
74	не могут	10	2
75	смысле этого	3	2
76	это было	3	2
77	превращается в	2	2
78	сих пор	5	2
79	по себе	24	2
80	тем что	15	2
81	том что	21	2
82	а как	3	2
83	в его	7	2
84	все они	3	2
85	в том	38	2
86	что все	4	2
87	если не	5	2
88	с его	3	2
89	должна быть	4	2
90	представляется нам	4	2
91	но это	7	2
92	для всех	6	2
93	в противном	3	2
94	не в	23	2
95	в некоторых	4	2
96	мы не	17	2
97	до сих	5	2
98	могли бы	4	2
99	не столько	3	2
