N	2gram	Losev_Dial	VrazhdaK
1	не только	35	9
2	и что	21	8
3	в этом	14	8
4	и в	34	8
5	что в	12	7
6	но и	14	7
7	и все	17	7
8	то что	25	7
9	но в	3	6
10	как и	14	6
11	– это	11	6
12	в котором	2	6
13	в нем	7	6
14	и с	10	6
15	о нем	6	6
16	все же	4	6
17	и даже	21	6
18	и не	50	5
19	не было	6	5
20	об этом	8	5
21	то же	9	5
22	в то	9	5
23	же время	5	5
24	у него	2	5
25	для нас	2	4
26	целый ряд	3	4
27	несмотря на	2	4
28	в своих	3	4
29	это не	13	4
30	в виду	12	4
31	все это	13	4
32	при этом	7	4
33	о том	11	4
34	в ней	4	4
35	как бы	19	4
36	так же	7	4
37	что он	18	4
38	в истории	7	4
39	с ним	3	4
40	может быть	30	4
41	т е	72	3
42	и у	3	3
43	в том	17	3
44	в чем	11	3
45	его в	2	3
46	что у	2	3
47	и уже	5	3
48	и во	3	3
49	в своем	7	3
50	том что	18	3
51	в его	6	3
52	в связи	3	3
53	и о	9	3
54	и его	8	3
55	и как	13	3
56	в этот	3	3
57	он не	8	3
58	о себе	2	3
59	связи с	3	3
60	к этому	3	3
61	но он	3	3
62	на то	5	3
63	я не	11	3
64	что есть	6	3
65	в конце	2	3
66	с его	7	3
67	тем что	5	3
68	никогда не	9	2
69	и то	7	2
70	в них	6	2
71	уже не	9	2
72	в мире	2	2
73	одна из	4	2
74	место в	2	2
75	в него	2	2
76	для него	4	2
77	при помощи	6	2
78	и это	12	2
79	на первый	4	2
80	с точки	25	2
81	как же	9	2
82	мы знаем	3	2
83	а в	3	2
84	в этой	3	2
85	в своей	4	2
86	как раз	11	2
87	же в	2	2
88	но как	3	2
89	и он	3	2
90	в себе	8	2
91	еще не	7	2
92	точки зрения	43	2
93	о чем	2	2
94	же как	4	2
95	тем более	5	2
96	после этого	2	2
97	таким образом	14	2
98	и ее	8	2
99	что я	3	2
100	отношения к	4	2
101	так в	2	2
102	их в	2	2
103	не может	29	2
104	из них	4	2
105	в это	4	2
106	не менее	11	2
107	его на	3	2
108	но это	10	2
109	отнюдь не	16	2
110	не мог	3	2
111	этот момент	2	2
112	личность и	5	2
113	вместе с	3	2
