N	2gram	Nazirov_Tr	Sovremen
1	не может	5	17
2	может быть	7	12
3	и в	18	7
4	в этом	9	7
5	и не	7	6
6	ничего не	2	6
7	как и	5	6
8	все эти	3	5
9	прежде всего	4	5
10	вопрос о	2	4
11	это не	5	4
12	не только	8	4
13	в том	2	4
14	как бы	7	4
15	в дальнейшем	5	4
16	в целом	4	4
17	но в	6	3
18	при этом	3	3
19	состоит из	2	3
20	не в	2	3
21	все же	5	3
22	уже в	3	3
23	в себе	4	3
24	еще не	4	3
25	одна из	2	3
26	и все	4	3
27	все это	4	3
28	в нем	4	3
29	в первом	2	3
30	что она	2	3
31	в этой	4	3
32	то же	5	3
33	в одном	2	3
34	отнюдь не	3	3
35	в конце	3	3
36	но все	2	2
37	что все	2	2
38	не могут	2	2
39	в его	3	2
40	и что	4	2
41	то и	2	2
42	в самом	2	2
43	в виде	2	2
44	что в	4	2
45	в таком	2	2
46	у него	6	2
47	уже не	2	2
48	по мнению	2	2
49	в отличие	2	2
50	отличие от	2	2
51	что это	5	2
52	о жизни	2	2
53	и даже	4	2
