N	2gram	Vygotskiy_	UchenyiS
1	и в	55	14
2	не только	24	10
3	а не	16	10
4	и не	19	8
5	прежде всего	6	8
6	то что	69	7
7	не может	15	7
8	в этом	30	7
9	в искусстве	12	6
10	может быть	34	6
11	и только	5	5
12	то же	16	5
13	хотя бы	5	5
14	все это	8	5
15	в художественном	4	5
16	художественное произведение	5	5
17	в конечном	2	4
18	но и	16	4
19	в этой	15	4
20	конечном счете	2	4
21	что такое	2	4
22	с другой	12	4
23	в их	3	4
24	конечно не	3	4
25	у нас	7	3
26	в частности	6	3
27	для этого	12	3
28	это не	9	3
29	очевидно что	3	3
30	и то	12	3
31	в своей	8	3
32	все же	11	3
33	не как	3	3
34	как и	9	3
35	в то	6	3
36	но в	7	3
37	же время	2	3
38	к сожалению	2	3
39	произведения искусства	2	3
40	было бы	15	3
41	в области	2	3
42	другой стороны	8	3
43	для него	5	3
44	в самом	18	2
45	в себе	13	2
46	что мы	12	2
47	материала и	6	2
48	мы и	2	2
49	о чем	4	2
50	же не	2	2
51	нас в	2	2
52	является в	2	2
53	же самое	13	2
54	что он	30	2
55	надо было	2	2
56	литературы и	2	2
57	таким образом	35	2
58	художественной формы	6	2
59	формы и	4	2
60	но не	9	2
61	и для	13	2
62	если бы	21	2
63	не все	3	2
64	между тем	4	2
65	самом деле	17	2
66	только в	12	2
67	этом смысле	4	2
68	и является	2	2
69	не есть	4	2
70	что она	10	2
71	ничего не	4	2
72	всех этих	3	2
73	даже и	2	2
74	и с	3	2
75	что и	11	2
76	искусства как	5	2
77	вопроса о	2	2
78	при таком	4	2
79	могут быть	8	2
80	на первый	2	2
81	не могут	4	2
82	это было	4	2
83	превращается в	2	2
84	сих пор	9	2
85	по себе	13	2
86	тем что	8	2
87	том что	46	2
88	а как	3	2
89	материал для	2	2
90	в сторону	2	2
91	в его	8	2
92	сводится к	7	2
93	все они	2	2
94	в том	50	2
95	что все	12	2
96	этом отношении	3	2
97	если не	2	2
98	художественного произведения	3	2
99	с его	6	2
100	как раз	19	2
101	должна быть	2	2
102	конце концов	6	2
103	его и	2	2
104	но это	2	2
105	по существу	4	2
106	не в	12	2
107	думается что	4	2
108	нам представляется	2	2
109	в конце	10	2
110	в некоторых	2	2
111	мы не	8	2
112	наконец он	2	2
113	до сих	9	2
114	могли бы	6	2
115	художественном произведении	3	2
