N	2gram	Bakhtin_sl	TeoriaLi
1	в качестве	4	33
2	не только	37	24
3	и в	69	24
4	в частности	3	23
5	то есть	46	22
6	может быть	40	22
7	в том	7	20
8	при этом	12	20
9	и не	32	17
10	а в	10	15
11	но и	37	14
12	так и	22	14
13	а не	29	14
14	в себе	3	14
15	такого рода	2	13
16	но не	7	13
17	внутренней речи	3	13
18	в этом	21	12
19	то же	17	12
20	но в	13	12
21	в его	19	12
22	том что	6	11
23	точки зрения	24	11
24	и его	45	11
25	по отношению	2	10
26	лишь в	6	10
27	отношению к	2	10
28	как это	3	10
29	что в	3	10
30	в данном	5	9
31	не в	14	9
32	с другой	8	9
33	в то	17	9
34	только в	9	9
35	не может	27	8
36	по своей	2	8
37	как бы	16	8
38	в своей	8	8
39	же время	15	8
40	или иной	13	7
41	в своем	9	7
42	а также	5	7
43	себя в	14	7
44	отношение к	8	7
45	отличие от	13	7
46	в самом	6	7
47	в отличие	12	7
48	однако в	3	7
49	место в	2	7
50	не столько	4	7
51	в нем	44	7
52	или иного	2	6
53	того или	2	6
54	другой стороны	5	6
55	не менее	4	6
56	героя и	5	6
57	еще не	9	6
58	то что	2	6
59	или менее	5	6
60	как и	8	6
61	более или	5	6
62	с другими	8	6
63	или иначе	2	6
64	уже не	5	6
65	приводит к	2	6
66	между ними	2	6
67	в состав	3	6
68	в ее	2	6
69	в основе	8	6
70	с его	8	6
71	данном случае	3	5
72	по преимуществу	5	5
73	как в	18	5
74	как к	5	5
75	и одновременно	2	5
76	ни в	4	5
77	в виду	2	5
78	и тем	3	5
79	не является	3	5
80	для того	2	5
81	и о	3	5
82	в пределах	27	5
83	для него	8	5
84	за пределами	3	5
85	на почве	6	5
86	высказывания в	2	5
87	между тем	5	5
88	могут быть	25	5
89	не предполагает	3	5
90	того что	4	5
91	он не	5	5
92	в себя	3	5
93	можно сказать	2	5
94	никогда не	9	4
95	сказать что	4	4
96	в отношении	9	4
97	его в	7	4
98	это не	8	4
99	так в	2	4
100	и ее	3	4
101	в форме	3	4
102	в другом	4	4
103	этого слова	2	4
104	в их	6	4
105	в этих	8	4
106	что он	2	4
107	по своему	2	4
108	далеко не	7	4
109	к тому	3	4
110	речи и	4	4
111	того же	7	4
112	слова в	19	4
113	мира и	4	4
114	входит в	8	4
115	в свою	4	4
116	в целом	3	4
117	отношении к	9	4
118	и что	2	4
119	языка в	21	4
120	говорить о	2	4
121	или даже	5	4
