N	3gram	Tiupa_Disk	Myslijsy
1	в том что	18	47
2	по отношению к	13	26
3	не может быть	5	19
4	по крайней мере	3	17
5	в свою очередь	3	14
6	то же время	9	13
7	в то же	7	13
8	не в том	3	13
9	во всяком случае	2	12
10	с другой стороны	4	12
11	более или менее	2	12
12	только в том	2	12
13	подобно тому как	4	11
14	сами по себе	2	11
15	а в том	2	11
16	с одной стороны	12	10
17	одного и того	4	9
18	о том что	8	9
19	и того же	4	9
20	потому что в	2	9
21	так и в	4	8
22	в этом случае	3	8
23	и то же	2	7
24	можно сказать что	3	7
25	как и в	3	7
26	одно и то	2	7
27	не только в	2	7
28	с точки зрения	3	7
29	то же самое	2	6
30	и как бы	5	6
31	с самого начала	2	6
32	и может быть	3	6
33	по себе не	2	5
34	и то что	2	5
35	в данном случае	6	4
36	обратить внимание на	2	4
37	из виду что	2	4
38	в этом отношении	4	4
39	дело в том	3	4
40	в том чтобы	2	4
41	то есть в	2	3
42	что же касается	4	3
43	тогда как в	5	3
44	говоря уже о	2	3
45	не было в	3	3
46	а не в	2	3
47	не говоря уже	2	3
48	одной стороны и	3	3
49	в большинстве случаев	2	3
50	до известной степени	2	3
51	в наше время	4	3
52	но при этом	3	2
53	а не как	2	2
54	же время и	2	2
55	упускать из виду	2	2
56	только то что	2	2
57	в свое время	3	2
58	лицом к лицу	2	2
59	в себе не	2	2
60	и не только	2	2
61	состоит в том	3	2
62	при этом в	2	2
63	в своем распоряжении	2	2
64	и не может	3	2
65	мы имеем дело	3	2
66	к лицу с	2	2
