N	2gram	Losev_Vesc	Analitik
1	не только	48	71
2	тогда как	3	67
3	и в	44	66
4	в качестве	4	61
5	но и	19	57
6	в том	15	52
7	может быть	37	52
8	в частности	3	51
9	в этом	17	51
10	как и	15	50
11	и не	57	48
12	а не	34	42
13	том что	13	40
14	так и	4	35
15	то есть	2	35
16	не может	44	29
17	как бы	19	29
18	отнюдь не	8	29
19	а в	6	28
20	в его	5	27
21	и его	4	27
22	не в	14	26
23	но не	9	26
24	в себе	23	24
25	не случайно	2	24
26	к тому	3	22
27	и даже	12	22
28	в этой	4	22
29	что в	11	22
30	о том	11	20
31	я в	3	20
32	но в	8	19
33	в своей	6	19
34	то же	12	19
35	в самом	13	19
36	с его	2	19
37	в то	11	18
38	в данном	6	18
39	тем самым	2	17
40	с другой	8	17
41	со стороны	9	17
42	в целом	3	17
43	только в	23	17
44	то что	47	16
45	что и	11	16
46	не есть	79	15
47	в их	4	15
48	прежде всего	17	15
49	в сущности	7	15
50	уже не	15	15
51	и на	2	15
52	данном случае	2	14
53	не менее	11	14
54	того же	5	14
55	той или	3	14
56	мы имеем	8	14
57	себя в	11	14
58	я и	8	14
59	далеко не	2	14
60	же время	4	14
61	в себя	13	14
62	по себе	22	13
63	ничего не	12	13
64	точки зрения	10	13
65	как раз	16	13
66	для него	8	13
67	он не	4	13
68	никогда не	5	12
69	есть не	17	12
70	как это	4	12
71	в первой	2	12
72	еще не	12	12
73	как в	3	12
74	сводится к	4	12
75	и сам	3	12
76	в свою	5	11
77	это не	9	11
78	нуждается в	2	11
79	по своей	3	11
80	и как	12	11
81	не с	8	11
82	можно сказать	8	11
83	той же	2	11
84	в той	6	11
85	имеем дело	3	11
86	в конце	3	10
87	все же	18	10
88	на себя	5	10
89	однако в	3	10
90	один из	5	10
91	было бы	24	10
92	подобно тому	5	10
93	с одной	3	10
94	именно в	2	10
95	здесь не	2	10
96	отношения к	3	10
97	в своем	9	9
98	того что	16	9
99	не столько	2	9
100	одной стороны	3	9
101	крайней мере	10	9
102	свою очередь	5	9
103	другой стороны	3	9
104	во всех	5	9
105	в результате	9	9
106	только не	5	9
107	по крайней	10	9
108	том чтобы	2	9
109	тому как	5	9
110	и того	2	9
111	говорит о	3	9
112	говорить о	9	9
113	таким образом	16	9
114	вместе с	4	9
115	перед нами	3	8
116	о чем	2	8
117	что он	7	8
118	и все	6	8
119	одного из	2	8
120	этом отношении	2	8
121	хотя и	5	8
122	в основе	4	8
123	дело не	4	8
124	если бы	8	8
125	не является	3	8
126	он и	2	8
127	с точки	6	8
128	с ним	8	8
129	свое время	2	7
130	иное как	12	7
131	в другом	3	7
132	и тем	7	7
133	в свое	2	7
134	по природе	2	7
135	в ее	8	7
136	все это	7	7
137	во всяком	4	7
138	одна из	6	7
139	по преимуществу	2	7
140	себя и	8	7
141	несмотря на	6	7
142	как будто	2	7
143	природе своей	2	7
144	что иное	12	7
145	и для	13	7
146	у него	3	7
147	или иначе	5	7
148	приводит к	2	7
149	со своим	8	7
150	в одном	6	7
151	собственно говоря	5	7
152	однако не	4	7
153	всяком случае	2	7
154	как мы	6	7
155	не мог	3	7
156	его в	8	6
157	из того	3	6
158	вопроса о	3	6
159	что не	11	6
160	не что	12	6
161	в силу	4	6
162	должен быть	5	6
163	казалось бы	3	6
164	мере в	2	6
165	в нем	6	6
166	что на	2	6
167	в полной	2	6
168	не будет	13	6
169	тем более	3	6
170	или в	3	6
171	и то	14	6
172	хотя бы	9	6
173	могла бы	3	6
174	то в	4	6
175	его как	2	6
176	превращается в	3	6
177	с самим	4	6
178	во всем	2	6
179	тем не	11	6
180	и более	4	6
181	так или	5	6
182	есть в	4	6
183	на этом	4	6
184	из которых	3	6
185	из них	7	6
186	уже в	2	6
187	вовсе не	11	6
188	не о	2	5
189	и потому	8	5
190	не как	2	5
191	а и	13	5
192	но как	3	5
193	жизни в	3	5
194	для себя	6	5
195	совершенно не	11	5
196	так что	9	5
197	самом деле	7	5
198	на вопрос	2	5
199	а с	3	5
200	не так	2	5
201	во втором	2	5
202	а а	2	5
203	том или	2	5
204	а затем	2	5
205	и до	6	5
206	все эти	5	5
207	мы не	8	5
208	того и	2	5
209	в первом	2	5
210	тот же	4	5
211	я не	7	5
212	и здесь	5	5
213	да и	5	5
214	к его	2	5
215	одно из	2	5
216	к этому	2	5
217	с другими	8	5
218	с ее	10	5
219	в особенности	3	5
220	как о	5	5
221	для того	3	5
222	и их	11	5
223	тем что	7	5
224	еще и	11	5
225	самим собою	2	5
226	ни с	8	5
227	ни в	11	5
228	в котором	4	5
229	в слове	2	5
230	все что	3	5
231	что мы	17	5
232	в отношении	7	4
233	а вот	3	4
234	и ее	19	4
235	отношение к	4	4
236	как к	5	4
237	и а	3	4
238	смысла есть	2	4
239	как он	2	4
240	только на	3	4
241	в действительности	7	4
242	была бы	3	4
243	его от	2	4
244	его и	4	4
245	на две	2	4
246	и о	4	4
247	к нему	3	4
248	указывает на	8	4
249	смысла но	2	4
250	и что	22	4
251	на себе	5	4
252	потому что	25	4
253	свидетельствует о	3	4
254	нам не	2	4
255	в чем	10	4
256	не предполагает	4	4
257	что же	17	4
258	с ними	4	4
259	того чтобы	4	4
260	и во	3	4
261	и тогда	7	4
262	то ни	13	4
263	жизнь и	2	4
264	но о	2	4
265	и т	37	4
266	бы и	9	4
267	сказать что	21	4
268	и от	4	4
269	с этим	4	4
270	но это	14	4
271	не все	3	4
272	что она	23	4
273	бы в	9	4
274	в которой	5	4
275	отличается от	8	4
276	об этом	5	4
277	на него	3	4
278	сама по	7	4
279	ни было	12	4
280	мы уже	3	4
281	между ними	6	4
282	или иных	2	4
283	в своих	3	4
284	и если	5	4
285	этом смысле	2	4
286	тех или	6	4
287	не было	4	4
288	реальности и	4	4
289	это и	12	4
290	и есть	40	4
291	основе своей	2	4
292	в собственном	3	4
293	вопрос о	6	3
294	очевидно что	2	3
295	ни о	3	3
296	мы должны	5	3
297	она может	4	3
298	когда же	2	3
299	для нее	2	3
300	один и	2	3
301	человека и	3	3
302	в состоянии	2	3
303	здесь как	2	3
304	не был	2	3
305	со мною	2	3
306	в виду	2	3
307	к ее	3	3
308	тут же	4	3
309	себе в	5	3
310	неотделимо от	2	3
311	ведь и	6	3
312	с тем	8	3
313	же не	4	3
314	может и	3	3
315	она не	9	3
316	гораздо более	2	3
317	своей собственной	2	3
318	понимание есть	2	3
319	в ней	14	3
320	быть может	3	3
321	между собой	2	3
322	только к	2	3
323	что все	2	3
324	заключается в	3	3
325	что они	12	3
326	случае не	3	3
327	все еще	3	3
328	и больше	13	3
329	из его	2	3
330	в имени	21	3
331	бы то	12	3
332	принципиально не	3	3
333	в одну	2	3
334	вопрос об	2	3
335	и внешнего	2	3
336	содержит в	11	3
337	для этого	5	3
338	никак не	7	3
339	первом случае	2	3
340	независимо от	5	3
341	так как	17	3
342	можно было	6	3
343	дело в	6	3
344	бы ни	3	3
345	должно быть	8	3
346	о котором	2	3
347	это было	2	3
348	себя самого	4	3
349	и может	3	3
350	в жизни	5	3
351	с этой	6	3
