N	3gram	Bakhtin_Pr	Psycholo
1	в том что	10	78
2	для того чтобы	3	70
3	в самом деле	5	51
4	заключается в том	2	36
5	о том что	5	34
6	с точки зрения	21	29
7	все то что	3	23
8	до сих пор	3	23
9	не может быть	8	23
10	с другой стороны	3	20
11	на самом деле	4	17
12	с самого начала	3	16
13	мы видим что	2	16
14	в зависимости от	5	15
15	во всяком случае	3	14
16	так же как	4	14
17	в этом отношении	7	14
18	в то время	3	14
19	само по себе	4	14
20	можно было бы	4	13
21	то время как	2	13
22	и в этом	8	13
23	в конце концов	7	12
24	этой точки зрения	3	12
25	подобно тому как	5	11
26	по сравнению с	2	11
27	сами по себе	4	10
28	том что он	4	10
29	потому что он	2	9
30	в том и	2	9
31	в данном случае	3	9
32	в отличие от	3	9
33	и как бы	3	8
34	друг с другом	4	8
35	смысле этого слова	2	8
36	можно сказать что	3	7
37	только то что	2	7
38	в этом смысле	12	7
39	потому что она	3	6
40	сама по себе	3	6
41	именно потому что	3	6
42	и в том	2	6
43	друг к другу	4	6
44	не только в	2	6
45	как бы в	3	5
46	в лучшем случае	3	5
47	потому что они	2	5
48	же как и	3	5
49	нам кажется что	2	5
50	таким образом все	2	5
51	в целом ряде	2	5
52	то есть в	10	4
53	мы уже говорили	2	4
54	это и есть	3	4
55	именно в том	2	4
56	он не может	2	4
57	и не может	3	4
58	таким образом в	2	4
59	это вовсе не	2	4
60	и в сущности	2	4
61	бы то ни	3	3
62	а не только	2	3
63	он может быть	2	3
64	там где она	2	3
65	он не только	2	3
66	не потому что	3	3
67	но он не	2	3
68	в то же	10	3
69	по отношению к	17	3
70	то же время	10	3
71	оно может быть	2	3
72	друг от друга	2	3
73	в высшей степени	2	3
74	дело идет о	4	3
75	мы имеем в	2	2
76	той или иной	3	2
77	как мы видели	3	2
78	то что было	3	2
79	то есть не	3	2
80	потому что не	2	2
81	то что я	2	2
82	она не может	3	2
83	то ни было	2	2
84	к нему и	2	2
85	то же что	3	2
86	перед нами в	3	2
87	в одном из	3	2
88	что может быть	2	2
89	имеем в виду	2	2
90	а не как	4	2
91	по крайней мере	3	2
92	и это не	3	2
93	не совпадает с	2	2
94	он как бы	2	2
95	начала и до	2	2
96	выходит за пределы	2	2
97	точку зрения на	4	2
98	между тем как	4	2
99	не может понять	2	2
100	как в музыке	2	2
101	жизни и смерти	7	2
102	может быть только	3	2
103	в той же	3	2
104	что она не	3	2
105	а может быть	2	2
