N	3gram	Bakhtin_Fr	Istorich
1	с другой стороны	2	46
2	до сих пор	3	30
3	мы видим что	2	30
4	с одной стороны	2	28
5	так же как	4	27
6	в том что	8	25
7	не может быть	4	24
8	вместе с тем	2	23
9	о том что	5	22
10	в связи с	5	17
11	мы видели что	2	16
12	в данном случае	4	15
13	о том как	2	15
14	в то время	3	13
15	как мы видели	4	12
16	но и в	3	12
17	во всех этих	2	11
18	можно было бы	2	10
19	что и в	2	10
20	более или менее	2	9
21	же как и	2	9
22	друг с другом	2	9
23	то же самое	3	8
24	совершенно так же	2	8
25	таким образом и	2	8
26	подобно тому как	2	8
27	в большинстве случаев	5	7
28	с представлением о	2	7
29	потому что он	3	7
30	с самого начала	3	6
31	к тому же	3	6
32	мы видели как	2	6
33	на самом деле	4	5
34	для того чтобы	8	5
35	в том числе	6	5
36	в отличие от	3	5
37	в другом месте	3	5
38	это и есть	2	4
39	можно сказать что	4	4
40	с точки зрения	5	4
41	в одной из	2	4
42	все то что	5	3
43	это своего рода	2	3
44	и целый ряд	2	3
45	никак не может	2	3
46	мы уже говорили	7	3
47	дело в том	4	3
48	таким образом в	3	3
49	и тот же	2	3
50	между человеком и	2	3
51	в средние века	2	3
52	характерно что в	2	2
53	его как бы	2	2
54	в самом деле	2	2
55	и др в	2	2
56	он не только	2	2
57	хотя бы в	2	2
58	и связанные с	2	2
59	здесь перед нами	3	2
60	и даже в	2	2
61	на самом же	4	2
62	самом же деле	4	2
63	и прежде всего	4	2
64	и не могут	2	2
65	это конечно не	4	2
66	на первый план	3	2
67	здесь как и	2	2
68	не только для	2	2
69	том числе и	3	2
70	так как они	3	2
